,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,ASSOC_PROB_BAY,Flux_Band_0,Flux_Band_1,Flux_Band_2,Flux_Band_3,Flux_Band_4,Flux_Band_5,Flux_Band_6,Flux_Band_7,nuFnu_Band_0,nuFnu_Band_1,nuFnu_Band_2,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
56,0.6666667,0.7174914,524.95074,17.160936,0.22463594,0.99851024,4.4102381794274004e-13,1.512802549896719e-09,7.797562040501305e-10,1.5772823325210794e-10,4.719752713655545e-11,2.196361842399241e-11,3.307143263161073e-16,4.924606187249603e-13,7.030278171004127e-17,3.590920150207261e-13,5.275608509075491e-13,3.743975073543238e-13,3.193250243220536e-13,5.213476135176864e-13,2.23751892474451e-17,8.337644133047871e-14,6.325277328491211,7.066077709197998,7.244300842285156,7.96327018737793,4.320147795056073e-09,1.001172922343585e-09,1.5791967733491672e-09,2.9153008895832504e-09,1.8338731644362838e-09,2.125939646546726e-09,3.9905621029845414e-09,5.4392677029113665e-09,4.167725086212158,1.043492078781128,2.5543947219848637,2.503706693649292,3.371030330657959,1.97373366355896,5.154350757598877,6.268725395202637,1
63,0.6666667,3.3811243,1599.0161,175.40004,0.72519034,0.99674195,1.0072126244153878e-08,7.168662552459182e-09,2.5276694071152406e-09,4.5137760196212174e-10,5.4625141215902666e-11,8.647907043246583e-12,1.4185389940192224e-15,2.324445283909788e-16,1.6285889737482906e-12,1.7223745216524144e-12,1.6752806824074649e-12,1.0234081377485937e-12,3.387820894044241e-13,1.8580493046926885e-13,8.289546833563824e-17,2.415406597015876e-17,16.173593521118164,15.79846477508545,6.9353861808776855,3.4591000080108643,6.4078906625297805e-09,8.655734795581793e-09,3.8048528772094414e-09,1.68248237564228e-09,4.728804015030619e-09,2.7961595705505715e-08,5.060291297098729e-09,7.309870042604416e-09,4.136449813842773,5.624584674835205,2.5602357387542725,1.0772420167922974,3.5433239936828613,13.072406768798828,3.3159334659576416,4.355351448059082,2
66,0.6666667,3.2885711,1878.826,346.11282,0.9433384,0.99867564,1.2355389600315902e-08,1.1910031183504088e-08,3.221617639326268e-09,6.842693633934971e-10,1.5000510555918112e-10,1.517190713340444e-11,2.122644051740085e-16,2.846153257854005e-16,1.991232482720373e-12,2.860094973355931e-12,2.1584706678262618e-12,1.5799453759179904e-12,9.60043025979851e-13,3.373710815920972e-13,1.3011886870787823e-17,3.3253160241721695e-17,16.09140968322754,18.050365447998047,13.137290000915527,4.875324249267578,8.165211617949808e-09,4.420286359163583e-09,7.089047127095682e-09,6.629641280397891e-09,6.460651569284437e-09,3.1721782978166853e-09,6.498899640661193e-09,2.791427888837461e-08,5.122156143188477,2.87180233001709,4.133991718292236,3.721485376358032,3.5739121437072754,2.0348989963531494,3.0227580070495605,13.283230781555176,2
71,0.6666667,3.1573217,820.33154,32.80153,0.31255382,0.99866146,1.1324807758228417e-08,7.219879138986585e-10,1.089198509163225e-09,4.340284243120607e-10,1.0917262233123282e-10,3.321994068716805e-11,3.5262999117935397e-12,4.116025581773244e-16,1.8754431601458728e-12,1.8433411535460215e-13,7.769147738340143e-13,1.0464153415296053e-12,7.276501449993146e-13,7.576354908028772e-13,2.20479952112336e-13,4.8736757081407794e-17,8.768838882446289,16.20920753479004,13.918729782104492,9.735551834106444,3.868954934205249e-09,2.191997694467318e-09,4.183605906149523e-09,3.476068544117083e-09,3.3164295754062323e-09,3.0490339142374982e-09,2.8789146622187904e-09,7.647361077722791e-10,7.175302028656006,4.558605670928955,7.263364315032959,7.470542430877685,6.464919090270996,4.958593845367432,5.3628764152526855,1.2308467626571655,1
80,0.6666667,2.120904,184.95749,15.14013,0.2576234,0.9999288,6.363541693588104e-09,6.753371191263459e-13,9.425711600119512e-11,4.299658545869889e-11,8.253957933801459e-11,2.825411259121946e-11,8.333497086843167e-12,3.727567733646797e-12,1.1030685913293592e-12,1.9186484748414021e-16,7.561236792935634e-14,1.1317163840177809e-13,6.027132460652286e-13,6.869513638485536e-13,5.538252148551416e-13,4.867515353453035e-13,0.5168619155883789,1.157833218574524,7.577753067016602,7.8331427574157715,3.6815531179179567e-10,3.9901795756414055e-10,2.3661944625885667e-10,4.131550379593562e-10,7.7797263076107e-10,2.997788961511816e-10,6.467470448079381e-10,6.987762452004276e-11,4.537841320037842,4.398229122161865,2.7850067615509038,2.8410532474517822,5.669565677642822,3.06488299369812,3.743013858795166,0.7705943584442139,1
85,0.6666667,0.12429352,537.43085,16.819736,0.19884299,0.9978396,1.5774275219371246e-09,4.788003327149681e-09,6.106648520187719e-10,2.0682486279177678e-10,6.177483524716365e-11,1.01895610005176e-11,3.2173838246385426e-12,1.378600142029618e-12,2.51325707207456e-13,1.1350818288763389e-12,4.1253318035922026e-13,4.903153620963718e-13,4.1731841506770234e-13,2.4156178901786623e-13,2.1734958938982726e-13,2.322175654892456e-13,3.740884780883789,7.594604969024658,7.6678147315979,3.933382511138916,1.8996906270274394e-09,1.6933459079382372e-09,9.364060638006322e-10,2.154853850910854e-09,2.2310573388750754e-09,5.081794984818089e-09,5.9497633486671475e-09,5.025516891521421e-09,2.225821256637573,1.5154026746749878,2.4976353645324707,2.3338844776153564,1.716433882713318,5.015048027038574,3.43339467048645,3.956046581268311,1
86,0.6666667,4.0788093,1805.8726,140.62033,0.65228546,0.997477,3.1264441702205665e-08,1.3394025444313229e-08,3.012627702858594e-09,3.692900429896895e-10,1.1502026761589512e-11,2.1392041783807607e-12,2.940108005248024e-16,4.764973256867226e-15,5.019476154166647e-12,3.1311661163185844e-12,1.906829078315853e-12,7.974593750105509e-13,6.67722848584143e-14,4.315115837349656e-14,1.5915734189657277e-17,4.414870716965382e-16,14.532487869262695,11.55290412902832,1.5183658599853516,1.8422467708587649,1.9834903497439882e-08,2.145610444870272e-08,1.0650642146003976e-08,4.946239329228774e-08,2.2645627595352383e-08,3.620302280182841e-08,2.5663053904168013e-08,1.6561953586347045e-08,7.334071159362793,6.90681791305542,3.5051581859588623,14.403483390808104,6.800592422485352,9.707684516906738,7.029223442077637,4.943854331970215,2
91,0.6666667,3.4348795,2532.4946,336.54477,0.90885466,1.0,2.4929349251578973e-08,1.9994951472313005e-08,4.5048218488830125e-09,7.289572834245917e-10,8.937257878205429e-11,2.0100771741526916e-11,1.4040150788913303e-16,5.587226255249603e-16,4.001354369370658e-12,4.731801755974985e-12,2.9465440504194973e-12,1.6409956076282597e-12,5.520695120671272e-13,4.3189315513704484e-13,8.234533367128637e-18,5.894046999733527e-17,18.010082244873047,19.127695083618164,9.40089988708496,5.037833213806152,5.163445493394647e-08,2.0368965181205567e-08,8.144316332447943e-09,4.183994484208142e-09,6.304649957655785e-08,2.28705481220004e-08,7.279961966588644e-09,1.0956713758503156e-08,17.431947708129883,7.084841251373291,3.0785300731658936,1.7449225187301636,16.766769409179688,6.63329553604126,2.477539539337158,3.7521042823791504,2
92,0.6666667,0.0,570.56525,16.263166,0.2706897,0.9556661,1.1309165138650297e-13,4.8324184653836255e-09,7.492276243858952e-10,1.7718977673997216e-10,7.012698061137357e-11,8.061678061221933e-12,4.261323498927494e-12,2.1138509233053e-16,1.7946518841756614e-17,1.1343747122194436e-12,5.002204705138735e-13,4.1593998753065853e-13,4.682015409054885e-13,1.8924195977626515e-13,2.845064949689308e-13,3.424029111496288e-17,3.982323408126831,6.255339622497559,7.249130725860596,2.706051826477051,4.565706479553455e-09,6.128434204555333e-09,7.453382799837982e-09,4.098191563883802e-09,1.1557316215160539e-10,3.319284624936358e-09,4.749948434579211e-09,1.0674658934561876e-09,3.659635066986084,3.960955619812012,4.477304935455322,2.436774730682373,0.0730950385332107,2.1406478881835938,2.9177844524383545,0.6113335490226746,1
93,0.6666667,2.2797177,221.93294,13.713926,0.10265498,0.9997198,5.678722754212011e-15,7.3595168847973e-10,1.6622281329148336e-10,1.2106629587727014e-10,8.785028260405169e-11,2.2041445058018638e-11,2.2181593367642805e-11,1.6097834870665297e-12,9.621319241661805e-19,1.9917403772280742e-13,1.2746014909758438e-13,3.1050314229508214e-13,6.3121740907085e-13,5.354423501802152e-13,1.4942877664403389e-12,2.312424882654207e-13,1.648910403251648,5.304098129272461,10.578940391540527,6.120524883270264,5.85186787915859e-10,5.325957452839701e-10,2.9275076807167006e-10,5.564658733803185e-10,5.811169878633392e-10,1.2899338264205083e-09,6.379973771508674e-10,6.583515399505301e-10,4.808710098266602,4.205391883850098,2.90747594833374,3.650517225265503,4.440628528594971,7.267683506011963,3.5743134021759038,4.622641086578369,1
97,0.6666667,1.3670999,1168.5735,26.699419,0.25407124,0.9998258,1.5308240008948815e-08,4.56974946771993e-09,1.5681743681383862e-09,3.8186453998889647e-10,1.3526843534172883e-10,5.143604986379557e-11,6.903314725414944e-12,3.563104011520836e-19,2.444498379758353e-12,1.089382815726292e-12,1.0664388209319364e-12,9.103270437807454e-13,9.198944774316264e-13,1.2261841932439954e-12,4.694607333086133e-13,6.13827145003447e-20,8.075002670288086,11.30348014831543,13.572010040283203,11.98338222503662,9.618553065138258e-09,8.347391222685019e-09,6.112526929058504e-09,3.781351232134966e-09,4.542288767339642e-09,4.246703433352651e-09,9.340305417993022e-09,5.601144881239861e-09,6.986962795257568,6.457553863525391,5.207557201385498,4.100876808166504,4.672120094299316,3.3177270889282227,6.9904303550720215,5.53944730758667,1
98,0.6666667,3.125316,2128.8896,494.1492,1.3735869,0.99985063,6.577466904467143e-10,1.7047572242745446e-08,5.028777838589349e-09,6.173888622562629e-10,1.3023572498216396e-10,3.856159749154875e-12,1.096168244774879e-19,7.096955545820801e-17,1.0540939459182179e-13,4.023765261956802e-12,3.2851503635467068e-12,1.390448520210974e-12,8.062163675374989e-13,8.31119976443459e-14,6.4604914181601184e-21,7.579686736214295e-18,10.329106330871582,11.645641326904297,11.26883316040039,1.6650129556655884,7.637307675167904e-09,5.0177870747347705e-09,7.272195290397576e-09,1.2530391835241517e-08,5.5190209735656026e-08,7.804963786384178e-08,2.77770038081826e-08,1.1192330617859625e-07,1.3763006925582886,1.1762586832046509,1.5272835493087769,2.78725528717041,11.370338439941406,14.242473602294922,5.614087104797363,20.67206573486328,2
103,0.6666667,2.75846,1204.965,48.788124,0.34275222,0.9981949,1.6390412582723002e-08,3.287103922389178e-09,1.828468820797013e-09,5.381069478893608e-10,1.5025050648098667e-10,2.626741359146312e-11,9.20044943009124e-12,4.611320466939045e-19,2.6700226231357597e-12,8.115887519324906e-13,1.268023121399342e-12,1.2799801366383812e-12,9.970850100432529e-13,6.025413458107809e-13,5.852886534804537e-13,5.904474019775185e-20,13.652597427368164,18.66007804870605,15.994759559631348,8.150163650512695,8.824224906334166e-09,6.370727057003478e-09,2.9343285579130907e-09,4.3627181867123e-09,1.008624739284869e-08,9.69632729663772e-09,3.916252211411121e-09,5.882468734341728e-09,9.331605911254885,7.826315879821777,3.7784054279327393,5.585066795349121,11.814963340759276,9.055933952331545,4.362545967102051,6.219923496246338,1
106,0.6666667,1.4831812,1117.0865,39.290386,0.31218225,0.9998968,6.650709316602388e-09,3.424241112881532e-09,1.2922014569483051e-09,3.9803607632116206e-10,1.345473454872348e-10,4.098450398504205e-11,1.526737417045787e-11,3.194106324937653e-23,1.0646586693849325e-12,8.213413131043236e-13,8.852493391109384e-13,9.54732603739017e-13,9.217444515985385e-13,9.830577107558525e-13,1.045923113743297e-12,5.642786347209674e-24,10.156049728393556,15.561504364013672,15.412516593933104,10.599167823791504,7.898449005949715e-09,4.223136063075117e-09,7.496563370068543e-09,1.0391762117478722e-08,3.9912229077287975e-09,3.2320146559072782e-09,5.17274889588748e-09,7.700661441845114e-09,6.82266902923584,5.512340545654297,9.640317916870115,11.998406410217283,5.976746559143066,4.596645832061768,6.723860740661621,8.833015441894531,1
109,0.6666667,3.9914649,979.91156,26.896915,0.18697871,0.99966353,8.61741719648812e-11,3.966873052263509e-09,1.0739880096366503e-09,5.688409188131516e-10,2.5705901296468875e-10,4.110124393608139e-11,1.6509521180707587e-11,6.504727049759539e-16,1.426674533719363e-14,1.0164470177001506e-12,7.745109349872882e-13,1.3915662242305893e-12,1.7542191657615724e-12,9.607080755924537e-13,1.0681828685465966e-12,8.534101127303902e-17,8.347193717956543,18.49596405029297,21.22818374633789,11.016844749450684,5.093480748286083e-09,3.767008482924439e-09,5.261151070357073e-09,4.824336929942774e-09,4.448948320856516e-09,3.7672815977884966e-09,5.044338724502495e-09,5.703616690055924e-09,11.443700790405272,8.445005416870117,9.587121963500977,8.887864112854004,8.190947532653809,6.1959228515625,8.59351921081543,10.100519180297852,1
110,0.6666667,4.3743105,3644.785,239.23526,0.43549657,0.99987024,2.132195042747753e-08,1.7459209189496505e-08,6.363365834261003e-09,1.7456315282160515e-09,4.85720685894364e-10,1.1434979352298311e-10,1.407057196450845e-11,1.7221620180266073e-12,3.4494559986164575e-12,4.254799637615214e-12,4.372837595495449e-12,4.1428900240947356e-12,3.234773560123472e-12,2.644271737337056e-12,9.089266882547633e-13,2.351609575471092e-13,29.756593704223636,38.69401550292969,30.83182144165039,19.22950935363769,1.6929149637689992e-08,2.922721087372793e-08,2.59329766549854e-08,2.3448357922006835e-08,2.645761831843174e-08,2.161872814099297e-08,1.7891927939217567e-08,1.2529046244935673e-08,13.584309577941896,19.020496368408203,16.458723068237305,15.35281467437744,17.261096954345703,12.694360733032228,11.725784301757812,8.603357315063477,1
115,0.6666667,3.611277,1976.612,101.65793,0.5585473,0.9976239,1.014486095129996e-08,1.1424902801593362e-08,3.024920980365664e-09,5.87071113944404e-10,9.016849766840808e-11,6.3543688540168556e-12,1.1501668758032155e-12,4.08195897542586e-17,1.6401796370732469e-12,2.749773065496841e-12,2.0149292390830853e-12,1.3397671643974873e-12,5.649061405287037e-13,1.379589801772663e-13,6.814949266801401e-14,4.368813135022307e-18,13.81239414215088,17.021020889282227,9.45293426513672,2.502138376235962,9.555045643594441e-09,9.752373131277636e-09,5.3918696174548594e-09,2.7491162679638133e-09,7.817805958154622e-09,4.5865893305574446e-09,6.029091448311874e-09,1.78862578081862e-08,4.835493087768555,4.857985019683838,2.923567295074463,1.3555742502212524,4.150330066680908,2.377819061279297,2.977622985839844,8.672806739807129,2
134,0.6666667,9.369154,8005.4023,7178.108,1.6535703,0.99961346,4.6786684748667546e-08,3.870923137583304e-08,1.4415528326594542e-08,3.4711187257840943e-09,7.838657500869316e-10,1.2260116533102658e-10,1.6805511843243082e-11,1.1893263727780516e-16,7.599454052154009e-12,9.45623006981533e-12,9.821218491246064e-12,8.102534268528139e-12,5.063831732404767e-12,2.739791683456505e-12,1.0328375524629174e-12,1.3834335183056435e-17,50.28251647949219,59.01591491699219,40.94584655761719,19.61470603942871,3.1974021208469594e-09,4.4092085538238734e-09,6.969087529284934e-09,1.0341465461749522e-08,8.650806293530877e-09,4.105864981340801e-09,9.575223280933189e-09,1.4449689444973046e-08,2.398178577423096,3.576186418533325,4.453792095184326,6.380953788757324,5.623734474182129,3.116206169128418,5.27921199798584,8.443225860595703,2
137,0.6666667,1.5268289,1185.3091,63.630413,0.4917453,0.99931973,2.2993130836812536e-13,6.933913443418761e-09,1.245860192788939e-09,3.0088481706158627e-10,1.0355969554121104e-10,6.950847449699316e-12,1.9920007483797963e-12,1.6243126254230906e-15,3.639131474090292e-17,1.617146520860313e-12,8.253825140719373e-13,7.017319125952881e-13,6.860830805387186e-13,1.6210959712190806e-13,1.3197006421689086e-13,2.5654610975127113e-16,7.759798049926758,11.73432731628418,12.75403118133545,3.3789803981781006,1.38892142231839e-08,1.286246664733426e-08,1.3159435319209932e-08,1.5732959823822057e-08,1.3337862370121913e-08,9.282928203901974e-09,6.04068306486738e-09,4.6336081638287405e-09,6.561976432800293,7.366940498352051,8.237859725952148,9.477987289428713,8.258633613586426,5.574066638946533,4.520751476287842,3.142708778381348,1
142,0.6666667,3.8856354,4310.1133,545.1399,0.70863044,0.9994261,5.7036018574763154e-08,2.4318664415545758e-08,6.081889658560158e-09,1.1301782842920716e-09,2.0254870003455491e-10,1.3323829886613403e-11,6.4761455746686894e-12,1.6494326580233378e-15,9.124969009566277e-12,5.747636307867898e-12,4.012292234567561e-12,2.5833603919250825e-12,1.2852607433194718e-12,2.9493754986030523e-13,3.960918236196181e-13,1.9360024593949684e-16,32.568965911865234,32.72935485839844,20.199451446533203,5.044086933135986,1.9369837289673345e-08,3.0808326556552856e-08,3.3411957645057555e-08,4.1839495423801054e-08,1.5904042527381534e-08,1.4225988387295274e-08,3.176317875386303e-08,3.3351735595488214e-08,9.59822940826416,14.04289436340332,15.665538787841797,18.1743106842041,7.844264507293701,6.953935623168945,12.818276405334473,14.9208984375,2
144,0.6666667,6.596611,4362.904,883.49976,0.75941986,0.9876088,3.10853032203795e-08,2.7981844397118042e-08,8.015657471105442e-09,1.4341151599595035e-09,3.138670157110113e-10,1.7105986765963976e-11,2.2598963109836616e-17,1.3199457353873611e-16,5.012486085920198e-12,6.701006936837839e-12,5.320122380830794e-12,3.269262681751539e-12,1.968079995848249e-12,3.722844244252038e-13,1.3451439481360233e-18,1.4315631049651025e-17,32.927513122558594,32.6626091003418,23.226974487304688,6.11629056930542,9.7880337168732e-10,6.144203812397109e-09,1.2745870137109705e-08,4.637747608171595e-08,4.109611140279412e-08,5.658508683836772e-08,1.1228286211917293e-07,2.7530033364087103e-08,0.5563573837280273,3.2222647666931152,6.603086471557617,17.58612632751465,15.88700008392334,18.844993591308597,32.61647415161133,12.01430606842041,2
