,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
751,3.194183826446533,5.159902572631836,7.4853196144104,2
756,6.213905811309815,6.045351505279541,4.44575834274292,1
759,2.142087459564209,2.085268020629883,2.4842801094055176,2
760,1.2580045461654663,0.9711035490036012,0.9305366277694702,1
765,24.339881896972656,13.625347137451172,11.905942916870115,2
772,1.2668330669403076,0.5303406715393066,0.8210326433181763,1
774,1.6560519933700562,3.21950364112854,2.668102264404297,2
775,1.7873297929763794,2.3173723220825195,5.783598899841309,2
784,43.053993225097656,26.745153427124023,37.06122970581055,1
786,15.844335556030272,12.575987815856934,17.79842185974121,1
788,8.210192680358887,5.623558044433594,17.02097511291504,2
789,1.3825660943984983,1.4510493278503418,2.968746900558472,1
795,2.874023199081421,2.1571080684661865,5.182058334350586,1
797,8.923880577087402,10.84388542175293,10.34426498413086,1
803,1.24464750289917,5.837986946105957,7.636237144470215,2
804,0.6242800951004028,2.502089023590088,3.981669187545776,1
805,3.24038314819336,1.7860193252563477,2.6101057529449463,1
807,17.85011863708496,44.60243225097656,13.308197975158691,2
808,6.424396991729736,5.651670455932617,7.1850666999816895,1
811,4.350636959075928,2.050424575805664,1.3914271593093872,2
818,3.5518481731414795,2.917686700820923,5.051315784454346,1
828,5.053605556488037,2.557842493057251,1.8856581449508667,1
829,5.580393314361572,7.021544933319092,9.737438201904297,1
834,6.374444007873535,12.647860527038574,4.377479076385498,2
836,7.556159496307373,5.990477085113525,9.100363731384276,1
837,10.064208030700684,7.350782871246338,9.6951904296875,1
838,4.650323867797852,6.096474170684815,6.773107528686523,1
846,4.657167911529541,8.835968017578125,5.315569877624512,1
850,2.936875820159912,7.122700214385986,4.768773555755615,1
856,4.202389240264893,1.8733080625534055,1.3839960098266602,1
857,12.830546379089355,9.382916450500488,6.495924949645996,1
859,2.375479221343994,1.5276378393173218,0.3131442070007324,2
863,7.068112373352051,7.94019079208374,6.459713459014893,1
870,1.9205800294876096,7.150970458984375,11.234057426452637,1
871,7.425695419311523,11.310626029968262,7.891917705535889,1
872,5.1000847816467285,10.738767623901367,6.256847858428955,2
874,7.173174858093262,4.613043785095215,3.4263269901275635,1
885,2.3953726291656494,2.360356569290161,2.885281801223755,1
895,7.5182785987854,9.83046817779541,9.5581693649292,1
898,5.804957866668701,9.319555282592772,5.541152477264404,1
906,7.807625770568848,7.816466808319092,5.8100361824035645,1
907,8.196769714355469,5.124412059783936,11.951589584350586,1
909,7.692440986633301,7.6086812019348145,10.416348457336426,1
910,14.059032440185549,28.795873641967773,19.88803482055664,1
911,16.675445556640625,20.827566146850582,22.81781578063965,1
914,5.630995750427246,3.432210922241211,2.1349148750305176,1
918,3.109823703765869,4.399231910705566,8.534388542175293,2
927,9.562314987182615,14.454212188720703,15.071846961975098,1
931,2.203049659729004,7.418458461761475,5.991986274719238,1
932,28.3650016784668,46.53488540649414,53.75532150268555,2
935,1.4346263408660889,4.470778942108154,1.7878631353378296,2
936,7.002817153930664,5.833657264709473,12.370257377624512,1
942,2.721205472946167,1.0822151899337769,6.930593967437744,2
944,13.517321586608888,6.4261627197265625,6.096129894256592,1
946,2.3415558338165283,3.9122161865234375,3.8618528842926025,2
950,12.504556655883787,10.73306941986084,9.32963752746582,1
961,7.659008502960205,6.663382530212402,5.317836761474609,1
962,9.531055450439451,9.825420379638672,14.337459564208984,2
966,2.679374933242798,5.784793853759766,4.4429192543029785,1
969,9.687685012817385,13.500248908996582,6.146471977233887,2
979,0.6008249521255493,1.7324665784835815,3.313600778579712,1
981,5.548954963684082,3.3170950412750244,3.665929079055786,1
985,2.0227138996124268,0.9086099863052368,2.5109965801239014,1
990,5.427733898162842,5.7837395668029785,5.333835124969482,1
