,Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,CLASS1
283,19.747355,3039.2334,6.4472866e-10,7.25063e-12,7.0764006e-14,1.9739357,7.8866926e-14,1.9028625,0.068527706,1.831606,1
284,11.815137,1962.6301,2.0293699e-10,2.3177482e-12,5.5404828e-14,2.1940033,6.070814e-14,2.1350021,0.067799985,1.1228154,1
285,32.876137,750.52374,7.563251e-10,8.03946e-12,1.9813276e-12,2.3931155,2.1190998e-12,2.276447,0.09161153,3.000383,1
286,19.509777,1993.8114,4.4720258e-10,3.9788446e-12,1.0375547e-13,1.9466435,1.1672351e-13,1.7923982,0.10260878,2.6347392,1
287,12.91811,6728.482,1.6765826e-10,2.323357e-12,4.850955e-15,1.6784071,5.941747e-15,1.582476,0.11103904,1.7985381,1
288,21.074654,2685.9055,8.028439e-10,6.7646266e-12,1.10025094e-13,2.0465899,1.2364022e-13,1.8606168,0.12556262,2.9090095,1
289,9.450008,5041.8047,3.5407163e-10,3.93401e-12,1.3606132e-14,2.0487592,1.5876326e-14,1.9654615,0.10751125,1.3579257,1
290,77.89479,435.50934,2.8311065e-09,3.6025526e-11,3.1082584e-11,2.4471421,3.321746e-11,2.354228,0.076274544,5.7250333,2
291,14.270526,983.7516,3.108909e-10,3.258093e-12,4.2530625e-13,2.4144735,4.7449636e-13,2.3318594,0.106285915,2.0510666,2
292,30.34222,1945.1829,7.7808454e-10,7.9648085e-12,1.9033711e-13,1.8820515,2.0320102e-13,1.7796171,0.05634346,2.313011,1
293,46.504147,518.4282,2.2335815e-09,2.9444617e-11,1.691002e-11,2.504444,1.9428185e-11,2.4031312,0.12367055,6.768682,2
294,28.151424,1790.9221,1.1957519e-09,1.1972664e-11,3.8286187e-13,2.3183336,4.2484083e-13,2.3190258,0.07690093,3.3056874,2
295,180.19302,1638.016,1.2211991e-08,1.2363639e-10,4.0886075e-12,1.8689854,4.342875e-12,1.7630212,0.059036963,9.232952,1
296,56.70437,362.9587,1.2613603e-09,2.1687348e-11,3.124789e-11,2.630092,3.4668518e-11,2.5048501,0.13064307,6.858413,2
297,11.58108,4492.4756,3.1294306e-10,3.4950794e-12,1.4582152e-14,2.1200004,1.544844e-14,2.097844,0.04253375,0.75741774,1
298,28.776577,521.2506,6.0535255e-10,7.2141026e-12,4.19257e-12,2.4559739,4.5437486e-12,2.3221796,0.10454944,3.0665336,2
299,247.8632,692.18915,1.8960542e-08,1.8220711e-10,4.8550428e-11,2.186557,5.3371585e-11,2.1109946,0.07769082,18.64716,2
300,17.336464,7180.868,4.6228776e-10,5.477392e-12,1.0358993e-14,1.8597474,1.0498434e-14,1.8530346,0.00830118,0.0,1
301,111.60072,470.3668,5.076933e-09,5.825015e-11,4.1240625e-11,2.3738635,4.493319e-11,2.26889,0.09094216,10.121202,2
302,8.66409,2413.4478,3.2210334e-10,3.7010312e-12,5.581601e-14,2.207816,5.7194545e-14,2.1934767,0.01620014,0.0,1
303,7.5825114,7255.873,1.294862e-10,1.5266576e-12,2.8252765e-15,1.8677615,2.9542318e-15,1.8415889,0.0229985,0.06822877,1
304,7.4945703,836.69385,1.4131882e-10,3.1234889e-12,4.1432127e-13,2.7849357,4.852491e-13,2.856482,0.16107808,1.8974105,2
305,10.160359,3974.6125,2.2940731e-10,2.6222427e-12,1.5092521e-14,1.9278659,1.839544e-14,1.8130854,0.12982823,1.8927798,1
306,81.1929,860.49896,5.0495186e-09,5.3897314e-11,9.552762e-12,2.3781023,1.0792603e-11,2.3297808,0.11287131,10.257668,2
307,19.857424,4749.828,5.7087257e-10,6.537875e-12,2.6702871e-14,1.9234272,2.9285768e-14,1.8673323,0.05897702,1.4039016,1
308,20.664488,4141.065,5.771798e-10,6.5200206e-12,3.462297e-14,1.9592559,3.6664817e-14,1.9332293,0.034131806,1.1124729,1
309,11.571869,2239.4846,3.0474975e-10,3.4041667e-12,6.2126865e-14,2.1209292,6.921101e-14,2.0693505,0.069784194,1.2389561,1
310,11.40915,3510.7053,2.720687e-10,3.052612e-12,2.2408451e-14,1.9825997,2.600817e-14,1.9079521,0.09836106,1.6132087,1
311,32.16244,3794.9016,5.034154e-10,6.7540873e-12,3.728044e-14,1.6508718,4.3724386e-14,1.4246678,0.12325497,4.2874727,1
312,27.303608,1051.6042,6.5676564e-10,8.073427e-12,8.297942e-13,2.4735045,8.903867e-13,2.4520469,0.07181776,2.6770582,2
313,68.68331,3785.2827,1.5109405e-09,2.303937e-11,1.1376907e-13,1.5892488,1.2070783e-13,1.4902594,0.044097625,3.1918,1
314,17.994814,930.51465,6.712698e-10,9.636106e-12,1.1868826e-12,2.4780695,1.2896424e-12,2.453757,0.059722543,1.7134737,2
315,118.629745,1036.9147,7.889578e-09,7.5405564e-11,7.767794e-12,2.1076758,8.161667e-12,2.0265326,0.052613124,6.2703037,1
316,9.482065,4614.7646,2.3885868e-10,2.7517216e-12,1.18877855e-14,1.9105258,1.3089478e-14,1.8443635,0.06143239,0.9396053,1
317,58.84804,1110.5452,3.3976963e-09,2.9717933e-11,3.0279353e-12,2.2157078,3.340075e-12,2.0900288,0.10414142,6.5991898,2
318,75.04797,961.34717,2.725959e-09,2.8616732e-11,3.856973e-12,2.3297668,4.1536423e-12,2.2834687,0.076348804,5.8475122,2
319,32.84967,2438.0178,1.4052065e-09,1.297789e-11,2.2693619e-13,1.9384578,2.5268752e-13,1.7774527,0.10011859,3.8398757,1
320,21.449156,2599.8071,4.0202175e-10,3.999431e-12,5.73431e-14,1.8805119,6.3355666e-14,1.7424601,0.0839495,2.3502781,1
321,66.86216,843.9112,2.0118356e-09,2.0648235e-11,3.4414578e-12,2.2098532,3.583643e-12,2.1538682,0.041904513,3.427208,1
322,15.130138,897.68317,4.1869977e-10,4.3048447e-12,7.1780423e-13,2.4397528,8.364111e-13,2.3403404,0.15027663,2.8800921,2
323,9.614018,3338.8547,2.35038e-10,2.6122839e-12,2.1050112e-14,2.0426002,2.1492506e-14,2.0337353,0.012975562,0.0,1
324,135.02632,1565.2386,1.1620206e-08,1.1687418e-10,4.488141e-12,1.9517566,4.684456e-12,1.8689257,0.043679472,5.6264033,1
325,10.133104,2076.7922,2.2718104e-10,2.6404896e-12,5.4943016e-14,2.2311177,6.29896e-14,2.0983934,0.13408934,1.5825955,2
326,7.855156,1530.7094,1.9936659e-10,1.4195089e-12,8.065914e-14,2.2239714,1.0004519e-13,2.0253353,0.19862056,2.189235,1
327,11.687562,1948.3816,4.3726087e-10,3.5582925e-12,1.1044546e-13,2.1723275,1.2856507e-13,2.1110687,0.1235322,2.0724826,1
328,93.77892,860.0025,3.77656e-09,3.763096e-11,6.4645845e-12,2.266483,7.000153e-12,2.1979606,0.07619435,7.4654703,2
329,19.097061,2138.5198,5.1838533e-10,4.4001434e-12,1.0198747e-13,1.919365,1.2035079e-13,1.7208629,0.14055997,3.2968462,1
330,17.091045,2621.1262,3.1490854e-10,3.5136755e-12,4.6285123e-14,2.0088694,5.1366284e-14,1.9344034,0.0748231,1.7269362,1
331,7.294941,939.1377,2.9489886e-10,4.3239665e-12,5.234324e-13,2.6091106,6.6555545e-13,2.6958458,0.19136636,2.3518047,2
332,27.482376,698.3393,1.6147768e-09,2.2547238e-11,6.2403897e-12,2.6211448,7.985531e-12,2.5542922,0.22040488,6.7216988,2
333,75.35938,1016.3238,2.9059946e-09,2.6108195e-11,3.1741155e-12,2.202839,3.4373524e-12,2.0881515,0.09248844,6.630955,1
334,79.96186,625.76685,4.722935e-09,5.2831992e-11,1.8939789e-11,2.3728943,2.0758426e-11,2.2919042,0.08242097,7.893976,2
335,59.144497,760.4456,2.8677256e-09,3.1486844e-11,7.162931e-12,2.3736572,7.838225e-12,2.301231,0.078893535,5.955229,2
336,14.119129,2607.9622,6.021171e-10,4.5825444e-12,8.285876e-14,2.0756063,1.004663e-13,1.8977411,0.16849886,3.0119264,1
337,21.570189,281.0474,9.997915e-10,1.6766411e-11,4.4282352e-11,2.6186335,4.9975198e-11,2.4270482,0.12628114,5.231413,2
338,30.270435,4207.4043,8.411919e-10,9.493176e-12,5.434175e-14,1.8107259,6.135169e-14,1.6171901,0.11531109,3.6364682,1
339,20.878815,2184.4753,4.4248827e-10,3.8693545e-12,8.665688e-14,1.9424833,9.824656e-14,1.7604206,0.12023106,3.0312696,1
340,249.87148,653.401,1.6199676e-08,1.5315753e-10,4.4057508e-11,2.1410642,4.749829e-11,2.0465772,0.068999685,15.325365,1
341,49.626972,449.3913,1.02446e-09,2.0395952e-11,1.6267496e-11,2.6933684,1.848414e-11,2.6612852,0.12566589,6.3644366,2
342,25.662888,4575.322,6.32127e-10,7.382494e-12,3.2390184e-14,1.8841027,3.3471764e-14,1.8648114,0.01817226,0.6376504,1
343,12.975497,957.7873,2.8220667e-10,4.916159e-12,5.326989e-13,2.679874,5.9736867e-13,2.7531393,0.11649656,2.1575048,2
344,76.43496,1981.5234,2.3908986e-09,2.6397766e-11,5.3936906e-13,1.7847546,5.779974e-13,1.6606877,0.061539542,5.1884775,1
345,27.388674,1593.9229,7.962459e-10,6.697541e-12,2.9419428e-13,2.0317,3.3166617e-13,1.8968011,0.10526024,3.5429914,1
346,22.582521,473.3806,7.4095424e-10,1.5010328e-11,1.0274567e-11,2.7542827,1.3177585e-11,2.648592,0.22147267,5.9997363,2
347,18.00206,2197.1323,4.5267728e-10,3.4371256e-12,8.728769e-14,2.045958,1.04155806e-13,1.858257,0.16667645,3.4659793,1
348,28.699732,2395.201,6.478542e-10,6.3745975e-12,1.0695183e-13,1.8634219,1.1820452e-13,1.6983672,0.095996566,3.1557994,1
349,22.978104,1655.1942,5.9235017e-10,5.2526733e-12,2.1192594e-13,2.079469,2.2976513e-13,1.9546953,0.080918945,2.3796744,1
350,22.023596,3591.774,7.7391116e-10,8.637991e-12,6.044626e-14,2.006946,6.2734384e-14,1.9904296,0.02103905,0.6752939,1
351,60.79063,713.85504,2.0091997e-09,2.0975449e-11,5.808578e-12,2.3737342,6.455123e-12,2.2638283,0.11204214,6.990719,2
352,9.513901,819.5167,4.73485e-10,9.4843855e-12,1.5661316e-12,2.7780752,2.4489718e-12,3.119243,0.56931704,4.19499,2
353,13.078906,581.13007,2.6833166e-10,5.126319e-12,1.9563754e-12,2.6916916,2.1248357e-12,2.6725538,0.06674928,1.2528042,2
354,31.036577,2987.4067,8.442022e-10,9.511348e-12,9.592894e-14,1.9676299,1.0077725e-13,1.9354035,0.031127313,1.33754,1
355,42.19593,2076.5833,1.2677663e-09,1.1107037e-11,2.7170987e-13,1.9209989,3.0675088e-13,1.7229947,0.12523484,5.4299273,1
356,16.044662,4187.8467,2.855214e-10,3.3315787e-12,1.7273822e-14,1.8857121,1.90694e-14,1.8370479,0.058104176,1.3330867,1
357,68.23372,1191.9451,2.9077203e-09,2.6578106e-11,2.035344e-12,2.0666397,2.1894355e-12,1.9659305,0.06794789,5.5647793,1
358,16.701574,835.253,4.1027692e-10,4.426391e-12,8.580014e-13,2.474997,9.932556e-13,2.3597524,0.14216205,3.1614122,2
359,32.646084,773.14886,1.7624265e-09,2.0345364e-11,4.4628684e-12,2.4369063,5.05072e-12,2.3727977,0.10078195,4.60009,2
