,CLASS1,HR_25,PL_Index
303,1,0.0216615650012698,2.0401638
305,2,0.0480219207391523,2.627819
308,1,0.0240832498490364,1.9886951
312,1,0.0258636605919295,1.9899724
318,2,0.0453997818404217,2.7253609
319,1,0.0288158128893389,2.0751011
320,2,0.0392675509497336,2.4949648
323,1,0.0209071235430269,2.0050452
325,2,0.039990380077929,2.350551
326,2,0.0410589429261672,2.4346988
327,2,0.0305986807856518,2.2274601
330,1,0.0275583969025461,2.0986667
331,1,0.017443599530793,1.6899698
333,2,0.0490002867997782,2.6467783
336,1,0.0282080671805896,2.079746
337,1,0.0221250783333808,1.9143653
338,2,0.0351301307355937,2.4031923
340,1,0.0163511899906499,1.9070705
345,2,0.0354694259832975,2.352834
349,2,0.0349022919607179,2.310125
350,1,0.016118064973723,1.7700862
352,1,0.0399982512439511,2.3699274
356,1,0.0231397506965599,1.9139365
361,1,0.0252375820809287,1.9275442
365,1,0.0208611034662481,1.6909957
367,1,0.0221570901059375,1.8547863
373,1,0.0312424265242995,2.183942
379,2,0.040633222994286,2.529519
383,1,0.0266766102704325,2.0862076
384,1,0.0289145230112989,2.157527
385,1,0.0205243584434255,1.9352778
398,1,0.0161124460216365,2.0112772
399,2,0.0410107598514406,2.4772136
402,1,0.0145913988697353,1.8156923
406,2,0.0356457540760954,2.3127844
407,2,0.0121019945401894,1.9250971
408,1,0.0290030368842636,2.1276338
412,2,0.0373169929877009,2.354668
417,1,0.0206866745413691,1.9000372
423,1,0.0140433161427753,1.7204688
426,2,0.036846252848178,2.3099995
429,2,0.0461472939293518,2.5580194
430,1,0.0238890851392214,1.9565228
431,1,0.02284390690681,1.9688947
434,1,0.0289933636428205,2.1661005
443,1,0.0171688794610375,1.8783762
445,1,0.0298946209419845,2.1205719
447,1,0.0230549211441809,2.2340415
450,2,0.041032334918509,2.4516993
451,1,0.0206053298990294,1.8332139
454,1,0.0314506806211367,2.1271718
457,1,0.0274600760874295,2.0592484
459,1,0.0221836896783965,2.0509503
464,1,0.0137930639929095,1.7966598
477,2,0.0450647008579073,2.5920868
478,1,0.0246505857088403,1.9987
486,1,0.0221051670951419,1.9608139
490,1,0.0327120818439613,2.2507455
498,1,0.0253022896503623,2.1060266
499,1,0.0148931259993155,1.7763389
503,2,0.0467197854290351,2.453857
509,1,0.0290587532136591,2.1219501
515,1,0.0215688677074939,1.9477135
516,1,0.0249820343788459,2.0319102
518,1,0.0137491176530737,1.8354657
525,1,0.014400558721812,1.8009216
527,2,0.0437574333297956,2.3560877
532,1,0.0294311248236216,2.2739365
533,1,0.036781181654621,2.2891583
536,1,0.0134480738017786,1.8632143
542,2,0.0474818081745281,2.4931405
544,2,0.049601614694428,2.6119077
548,2,0.0375964385753171,2.3654034
552,1,0.0343302918116602,2.462777
559,1,0.0313015106255726,2.214236
560,1,0.0155444469697091,1.8812803
561,1,0.0178921822464999,1.8335525
562,1,0.0206643466789452,1.8405137
565,1,0.0314994960425187,2.2515707
568,2,0.0395765294761246,2.3068495
570,1,0.0283287391792596,2.0846128
577,1,0.0266131158874198,2.0531473
593,1,0.0179428458609507,1.88119
595,1,0.0216019176191494,1.9528776
597,2,0.0390490133281574,2.353907
598,1,0.0328020962785475,2.2698004
600,2,0.0318594690033384,2.1782064
606,1,0.023953717400905,2.0430338
612,2,0.0359055377190069,2.2923257
615,1,0.0149986206703215,2.0411432
619,1,0.0253041132921151,1.9757295
623,1,0.0251803245864071,2.08546
