,CLASS1,HR_25
365,1,0.0208611034662481
367,1,0.0221570901059375
373,1,0.0312424265242995
379,2,0.040633222994286
383,1,0.0266766102704325
384,1,0.0289145230112989
385,1,0.0205243584434255
398,1,0.0161124460216365
399,2,0.0410107598514406
402,1,0.0145913988697353
406,2,0.0356457540760954
407,2,0.0121019945401894
408,1,0.0290030368842636
412,2,0.0373169929877009
417,1,0.0206866745413691
423,1,0.0140433161427753
426,2,0.036846252848178
429,2,0.0461472939293518
430,1,0.0238890851392214
431,1,0.02284390690681
434,1,0.0289933636428205
443,1,0.0171688794610375
445,1,0.0298946209419845
447,1,0.0230549211441809
450,2,0.041032334918509
451,1,0.0206053298990294
454,1,0.0314506806211367
457,1,0.0274600760874295
459,1,0.0221836896783965
464,1,0.0137930639929095
477,2,0.0450647008579073
478,1,0.0246505857088403
486,1,0.0221051670951419
490,1,0.0327120818439613
498,1,0.0253022896503623
499,1,0.0148931259993155
503,2,0.0467197854290351
509,1,0.0290587532136591
515,1,0.0215688677074939
516,1,0.0249820343788459
518,1,0.0137491176530737
525,1,0.014400558721812
527,2,0.0437574333297956
532,1,0.0294311248236216
533,1,0.036781181654621
536,1,0.0134480738017786
542,2,0.0474818081745281
544,2,0.049601614694428
548,2,0.0375964385753171
552,1,0.0343302918116602
559,1,0.0313015106255726
560,1,0.0155444469697091
561,1,0.0178921822464999
562,1,0.0206643466789452
565,1,0.0314994960425187
568,2,0.0395765294761246
570,1,0.0283287391792596
577,1,0.0266131158874198
593,1,0.0179428458609507
595,1,0.0216019176191494
597,2,0.0390490133281574
598,1,0.0328020962785475
600,2,0.0318594690033384
606,1,0.023953717400905
612,2,0.0359055377190069
615,1,0.0149986206703215
619,1,0.0253041132921151
623,1,0.0251803245864071
624,1,0.0162215656058933
630,1,0.0271628109367742
648,2,0.0452714818135465
650,1,0.0223256663225448
655,2,0.0350696156976828
657,2,0.0421446752568536
662,2,0.0425289066001901
664,1,0.0259416602034431
665,2,0.0445333823513856
666,2,0.0457076931523687
668,1,0.0216811926600006
669,1,0.0221898929643536
674,1,0.0199237993815456
677,2,0.0348990097721245
682,3,0.0273420539709394
684,2,0.0372543621413869
685,1,0.023768602001844
688,1,0.0200422536141372
689,1,0.0333179178120452
699,1,0.0286922690043192
702,1,0.0265701156965408
712,1,0.0266581954155791
715,1,0.0169322701666214
720,2,0.0426672835951544
722,2,0.0420171765346333
734,1,0.02133588182405
740,2,0.0292009574594689
745,2,0.0395558607081754
746,2,0.0424118860459987
747,2,0.0399132604870236
748,1,0.0267172427176961
750,2,0.0303429954822034
751,2,0.0380455064698665
756,1,0.0227475556324739
759,2,0.053082211489096
760,1,0.0174283544410618
765,2,0.0301198006699768
772,1,0.0319058077592096
774,2,0.0354576426940873
775,2,0.0349616244451029
784,1,0.0223693403302703
786,1,0.0306487277146429
788,2,0.0391291223500733
789,1,0.0179462963950496
795,1,0.0132832702953907
797,1,0.0239628569840985
801,3,0.0262751710736102
803,2,0.0382710541500108
804,1,0.0245655997126005
805,1,0.0275510880715384
807,2,0.043996036307562
808,1,0.0161725935829506
811,2,0.0426996137749286
818,1,0.013676422404899
828,1,0.0209363438535015
829,1,0.0246269695651601
834,2,0.0396186560606278
836,1,0.0154690912945721
837,1,0.0208055083225777
838,1,0.0224917906344354
846,1,0.0266049399794758
849,3,0.0314615745717369
850,1,0.0108056415377788
856,1,0.0312772498345202
857,1,0.0240546404117261
859,2,0.0382394344200711
863,1,0.020689964597975
870,1,0.0222807109730981
871,1,0.0213405369929143
872,2,0.0536001117073892
874,1,0.0213164365527096
885,1,0.0094712460062269
895,1,0.0230429202904494
898,1,0.027388244179375
906,1,0.024659668174995
907,1,0.0223794744619445
909,1,0.0205512437052999
910,1,0.0263064348197609
911,1,0.0325145816143217
914,1,0.0231042092374585
918,2,0.0463156222654651
927,1,0.0158023219184815
931,1,0.0221655455665911
932,2,0.0387722534184695
935,2,0.0091499874876553
936,1,0.0300107993998311
942,2,0.0457560592116569
944,1,0.0315563970823313
946,2,0.0372626264524675
950,1,0.0353281667741442
961,1,0.0330577774545361
962,2,0.030821343060748
