,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
71,3.0490339142374982e-09,2.8789146622187904e-09,7.647361077722791e-10,7.175302028656006,4.558605670928955,7.263364315032959,7.470542430877685,6.464919090270996,4.958593845367432,5.3628764152526855,1.2308467626571655,1
80,2.997788961511816e-10,6.467470448079381e-10,6.987762452004276e-11,4.537841320037842,4.398229122161865,2.7850067615509038,2.8410532474517822,5.669565677642822,3.06488299369812,3.743013858795166,0.7705943584442139,1
85,5.081794984818089e-09,5.9497633486671475e-09,5.025516891521421e-09,2.225821256637573,1.5154026746749878,2.4976353645324707,2.3338844776153564,1.716433882713318,5.015048027038574,3.43339467048645,3.956046581268311,1
86,3.620302280182841e-08,2.5663053904168013e-08,1.6561953586347045e-08,7.334071159362793,6.90681791305542,3.5051581859588623,14.403483390808104,6.800592422485352,9.707684516906738,7.029223442077637,4.943854331970215,2
91,2.28705481220004e-08,7.279961966588644e-09,1.0956713758503156e-08,17.431947708129883,7.084841251373291,3.0785300731658936,1.7449225187301636,16.766769409179688,6.63329553604126,2.477539539337158,3.7521042823791504,2
92,3.319284624936358e-09,4.749948434579211e-09,1.0674658934561876e-09,3.659635066986084,3.960955619812012,4.477304935455322,2.436774730682373,0.0730950385332107,2.1406478881835938,2.9177844524383545,0.6113335490226746,1
93,1.2899338264205083e-09,6.379973771508674e-10,6.583515399505301e-10,4.808710098266602,4.205391883850098,2.90747594833374,3.650517225265503,4.440628528594971,7.267683506011963,3.5743134021759038,4.622641086578369,1
97,4.246703433352651e-09,9.340305417993022e-09,5.601144881239861e-09,6.986962795257568,6.457553863525391,5.207557201385498,4.100876808166504,4.672120094299316,3.3177270889282227,6.9904303550720215,5.53944730758667,1
98,7.804963786384178e-08,2.77770038081826e-08,1.1192330617859625e-07,1.3763006925582886,1.1762586832046509,1.5272835493087769,2.78725528717041,11.370338439941406,14.242473602294922,5.614087104797363,20.67206573486328,2
103,9.69632729663772e-09,3.916252211411121e-09,5.882468734341728e-09,9.331605911254885,7.826315879821777,3.7784054279327393,5.585066795349121,11.814963340759276,9.055933952331545,4.362545967102051,6.219923496246338,1
106,3.2320146559072782e-09,5.17274889588748e-09,7.700661441845114e-09,6.82266902923584,5.512340545654297,9.640317916870115,11.998406410217283,5.976746559143066,4.596645832061768,6.723860740661621,8.833015441894531,1
109,3.7672815977884966e-09,5.044338724502495e-09,5.703616690055924e-09,11.443700790405272,8.445005416870117,9.587121963500977,8.887864112854004,8.190947532653809,6.1959228515625,8.59351921081543,10.100519180297852,1
110,2.161872814099297e-08,1.7891927939217567e-08,1.2529046244935673e-08,13.584309577941896,19.020496368408203,16.458723068237305,15.35281467437744,17.261096954345703,12.694360733032228,11.725784301757812,8.603357315063477,1
115,4.5865893305574446e-09,6.029091448311874e-09,1.78862578081862e-08,4.835493087768555,4.857985019683838,2.923567295074463,1.3555742502212524,4.150330066680908,2.377819061279297,2.977622985839844,8.672806739807129,2
