,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy
518,1,0.2048374,0.0078680225976982,13.557986,3186.1233
525,1,0.0,0.0071396336652908,10.458513,4965.1035
527,2,0.59786206,0.019824811893025,11.189045,1166.2592
532,1,0.49664712,0.0192934497621856,13.015724,2869.344
533,1,1.1866536,0.0212031009705673,47.1223,892.01337
536,1,0.31898677,0.0056269869262482,8.08378,4110.5444
542,2,1.1457661,0.027710849648755,69.58533,481.06982
544,2,0.88775665,0.0281348189121203,30.561274,568.252
548,2,0.79630965,0.0214936822006046,33.263733,720.9136
552,1,0.0,0.0276388732448018,10.807272,841.9329
559,1,0.0,0.0159665278261857,10.998882,1595.5239
560,1,0.0,0.0085161487358551,12.302172,4412.6504
561,1,0.32336596,0.0123863148300375,15.144321,4722.2876
562,1,0.37764886,0.0128463126446263,74.383995,1754.0548
565,1,1.3208382,0.0164016897600844,14.313315,2269.9963
568,2,1.0886257,0.0237843249742466,190.3643,547.0052
570,1,0.3952649,0.0178256195711716,108.473495,918.9236
577,1,0.5196566,0.0157620797022454,20.299698,1692.8757
593,1,0.1746383,0.0097461467164185,11.924552,4728.3066
595,1,0.26182884,0.0131458372229149,32.310226,1664.4768
597,2,0.0,0.0230782476743498,16.832548,827.5641
598,1,0.26876882,0.0202443516380856,46.64856,825.96063
600,2,0.7228722,0.019122830902242,88.283325,696.5675
606,1,0.54263616,0.0179838519255675,15.464209,2713.5815
612,2,0.93472654,0.0221589243260007,129.47285,823.1508
615,1,0.5888169,0.0035095917199944,9.151814,2952.3733
619,1,0.47050664,0.0157263165482355,186.9741,1273.8538
623,1,0.19634141,0.0140643586360132,14.314509,4122.56
624,1,0.3215453,0.0101582162676902,15.263435,3245.782
630,1,0.3577122,0.0220176400635608,12.184264,2038.0245
648,2,0.5932702,0.0259554460603731,8.340703,763.17163
650,1,0.18968205,0.0140077637008035,25.575588,2406.3828
655,2,1.0305789,0.0210963491068239,82.76316,1183.5239
657,2,0.50161135,0.0286512677497884,13.145168,1331.9689
662,2,0.8123775,0.024871036348514,34.653217,718.24335
664,1,0.2789728,0.0145440294503936,17.05085,2064.3645
665,2,1.4741691,0.0286827494651866,48.60506,416.9963
666,2,1.2256252,0.0258585565438313,16.3935,666.3337
668,1,0.0,0.0139525649504756,15.277015,6626.783
669,1,0.0,0.0140412098258026,9.07293,3477.035
674,1,0.0,0.0114159533613909,12.82764,2164.9453
677,2,1.446969,0.0216294478259233,37.086666,802.0716
682,3,0.0,0.0178761568919216,6.523491,2312.1975
684,2,0.7612582,0.0231038997155912,178.35457,541.66
685,1,0.40585074,0.0137401132056388,20.565123,2228.3235
688,1,0.34247074,0.0122324351586538,37.684334,3128.7134
689,1,0.9990194,0.0203664361016693,144.56494,894.7909
699,1,0.0,0.0174699248736704,10.842164,2012.2163
702,1,0.37784892,0.0183103685610523,20.77289,3718.1204
712,1,0.6883588,0.0164810396976605,30.243114,2064.514
715,1,0.39346272,0.0098094931947957,29.483458,2758.1921
720,2,0.72612786,0.029238386879503,13.837252,520.6228
722,2,0.9467097,0.0261619332288895,71.458046,558.3656
734,1,0.3119648,0.0119528477283636,16.780472,4077.7424
740,2,0.762726,0.017711035160175,17.523247,1326.2301
745,2,0.6396318,0.0253296674856674,99.72479,435.75806
746,2,0.3343844,0.030290111697213,8.541355,740.6769
747,2,1.2946417,0.027027327862231,37.786686,499.34387
748,1,0.0,0.0152531130757802,13.057512,2359.7244
750,2,1.397636,0.0243986929781149,10.988957,1757.0021
751,2,0.79860777,0.0241010875230503,15.3380375,1256.2445
756,1,0.42704675,0.0159300782355279,21.275236,2525.2727
759,2,0.5415614,0.0278035980251437,12.383144,507.34262
760,1,0.9286254,0.0058216670131296,7.786442,2859.8718
765,2,0.6982317,0.019738602602815,42.07726,1003.4206
772,1,0.7634931,0.0198210186956738,6.515493,1228.7161
774,2,0.11975377,0.0204703319900874,12.047947,1146.6658
775,2,1.9569927,0.0216772612712622,65.609764,659.24646
784,1,0.42600566,0.0149594135643363,114.103264,991.2757
786,1,0.22907557,0.0181240797363147,62.481247,1108.4604
788,2,0.60206705,0.0222654117510301,42.681274,821.4995
789,1,0.0,0.0110321633504118,10.176293,4053.6453
795,1,0.339896,0.0107583775925005,13.5763,4989.13
797,1,0.18630166,0.0154678255286923,33.77156,1956.6931
801,3,0.32150677,0.0155029308259934,26.185318,2401.4055
803,2,1.2927645,0.0253951079654126,27.983913,715.847
804,1,0.0,0.0158183798147935,7.5344915,3047.3254
805,1,0.34311378,0.0146234883243516,13.762308,2306.3877
807,2,0.5906184,0.026162732126917,87.510796,577.16125
808,1,0.5385098,0.01228290454702,19.615696,4283.616
811,2,0.50578916,0.0223118729292292,11.832921,1149.4149
818,1,0.30398265,0.0069403072147862,19.97706,2458.2747
828,1,0.0,0.0135713721953028,13.692459,4530.0303
829,1,0.27650476,0.0148903423874821,28.786041,1536.8129
834,2,0.8668572,0.0233788004829606,17.60633,683.9742
836,1,0.2502966,0.0080510194570269,29.822828,2403.4587
837,1,0.37611818,0.0127608125779792,43.3309,2114.8997
838,1,0.13397387,0.0117530560391516,25.883715,1991.3485
846,1,0.25915295,0.0167257180694219,23.235636,2267.7073
849,3,0.50662124,0.0191876350525371,251.5423,974.9004
850,1,0.57709557,0.0040945329753455,20.408197,5744.0986
856,1,0.35657355,0.0257454171298083,7.3219776,1382.7957
857,1,0.16917014,0.0162149448381617,39.788887,2694.6006
859,2,0.566969,0.0326395450773023,4.708267,769.55646
863,1,0.11748015,0.0119625094285424,26.636171,2018.0634
870,1,0.756446,0.01467540183402,41.50807,2300.3826
871,1,0.3705083,0.0121430718658733,35.272255,1804.0219
872,2,0.45325917,0.0313375927698169,37.897503,518.8951
874,1,0.27689254,0.015133431331571,24.080229,3175.7322
885,1,0.0,0.0041954265863059,7.1302943,5738.507
895,1,0.36951154,0.0137122646464562,29.252275,1584.5408
898,1,0.294744,0.0189775815517561,24.013233,2995.416
906,1,0.606509,0.0157420540904331,32.362617,1574.5503
907,1,0.2561892,0.0115387334474558,41.379913,2049.7812
909,1,0.45248845,0.0128393434051534,38.39438,2764.468
910,1,0.28728473,0.0160321165990378,80.157974,1068.8932
911,1,0.42507148,0.0196550294528865,103.37487,648.91846
914,1,0.4666982,0.0170465217236428,22.091341,2246.4998
918,2,0.5385262,0.0536194823889621,14.541455,557.9488
927,1,0.37161693,0.0078530830060156,41.110497,3181.5198
931,1,0.22241794,0.0125400098900271,27.491709,1869.5684
932,2,0.774464,0.0237773069680865,96.58291,505.48682
935,2,0.0,-0.0081092781881148,9.0145855,2916.9348
936,1,0.3893801,0.0208061762802981,40.958652,823.59485
942,2,1.4066836,0.0260626319924395,16.228243,806.30835
944,1,0.57424724,0.0181345386369976,27.571934,1293.8962
946,2,0.0,0.0207483400262176,13.70287,935.74445
950,1,0.29890013,0.0249135469870929,31.466127,759.78687
961,1,0.32500896,0.024598241647005,23.601128,735.90466
962,2,1.485231,0.0188055672136532,226.89351,639.8997
966,1,0.40870315,0.0116945864757914,19.917597,3604.52
969,2,0.81009763,0.0279198209259728,35.944412,497.6533
979,1,0.28027487,-0.0107721520347536,11.968086,5486.2495
981,1,0.0,0.0142868913372545,16.51842,8414.622
985,1,2.3227956,0.0178335370806461,12.106973,1520.9679
990,1,0.64083886,0.016751922376065,31.735037,1171.2002
993,1,0.47109926,0.0190983396032102,10.144218,1165.1022
998,1,0.0,0.0173568203537719,11.624699,1634.037
1010,1,0.22711313,0.0163397176291751,10.289222,2466.1465
