,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46
374,7.0,0.40646327,0.0299107293281609,4.0407295,486.11908,0.0513698066249191,0.0642163432471929,1.4594671e-12,0.0752955045254892,0.0520111167923929,0.0128890547930701,0.31710193,0.0631075665706071
377,7.0,0.26540217,0.0197261914819303,5.007577,1803.2682,0.0270110936192978,0.0900128640036226,5.2315984e-14,0.0295361849316568,0.0785068471480392,0.0631553228193063,0.06408958,0.0179544258152163
381,7.0,0.0,0.0225931860764621,4.6111016,870.5378,0.0646930637945273,0.0738604939238419,2.2485379e-13,0.0769488510316202,0.0641416658057257,0.0092114448228092,0.19020739,0.0672342811332502
387,7.0,0.5605139,0.0177600119174126,12.750861,1353.6276,0.1457367561349392,0.1406054909624274,1.4671039e-13,0.0237193308410064,0.1321125987830523,-0.0052386115960817,0.025583025,0.0150687837444374
391,7.0,0.42492878,0.0215152899655202,5.766599,1306.3757,0.0636161836030144,0.069328281338647,1.0417781e-13,0.1312107121132447,0.060385819460474,0.0057374019771827,0.23388408,0.1223748475077952
392,7.0,0.60667485,0.02358238191747,3.5760326,933.6307,0.079830862792247,0.0860388798109645,2.461223e-13,0.0895957481320872,0.0795534229443433,0.006250952045453,0.29750735,0.0831142223758181
393,7.0,0.588494,0.0233617456935456,5.8571033,2816.0781,0.0171756286392232,0.09180294742642,2.3232858e-14,0.0258609180293543,0.0812406310455625,0.0747451749858836,0.011956643,0.015223424139321
397,7.0,0.0,0.0306436636670923,9.881953,1000.9804,0.1193288090461794,0.0916909946559676,1.35209e-12,0.0834125825912468,0.076750645031422,-0.0279435553696117,0.6029679,0.0684522581364006
400,7.0,0.0,0.0151084950338367,9.843809,2930.2844,0.0126464599765948,0.0232975653770053,2.3117208e-14,0.1036650989766264,0.0184351071635654,0.0106542444788728,0.1087604,0.0988504001287782
401,7.0,0.0,0.0152101215291144,7.14356,3054.7478,0.0150368939450663,0.0779100269659573,1.7560203e-14,0.0251606469640283,0.0722536752130668,0.0629468768490043,0.16452079,0.0194750610646698
403,7.0,0.0,0.0192881549098958,16.142672,2698.8918,0.0173367502540614,0.0474712053070791,7.814899e-14,0.0239478611768308,0.0395762754629142,0.0301592760295415,0.047047436,0.0160411094927964
409,7.0,0.33153555,0.0269699854535441,9.8873205,1441.8002,0.0250887296110379,0.1022953299416394,1.8020951e-13,0.0387563926400668,0.0869384483420676,0.0774052578187819,0.5079876,0.0232756881476089
413,7.0,0.0,0.0153177110784,5.309433,7566.831,0.0052480863996652,0.0778347051041143,1.651044e-15,0.0106551196032636,0.0793136483292149,0.0726162812395412,0.5738403,0.0121430570393832
415,7.0,0.0,0.0201311379209141,5.355674,1731.4407,0.0164170473598779,0.0806046777463574,3.4626338e-14,0.0751154044882381,0.0663669631844528,0.0642726818358147,0.120846994,0.06086656097724
418,7.0,0.0,0.0294672708289853,6.5929594,1173.936,0.0990559553888774,0.081579912266654,2.9831346e-13,0.0732908872364684,0.0623642791321354,-0.0176184171308606,0.9390601,0.0540535058242699
