,Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,LP_EPeak,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,ASSOC_PROB_BAY,Flux_Band_0,Flux_Band_1,Flux_Band_2,Flux_Band_3,Flux_Band_4,Flux_Band_5,Flux_Band_6,Flux_Band_7,nuFnu_Band_0,nuFnu_Band_1,nuFnu_Band_2,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
6818,3.148534301501858,7.793726917266514,-20.819359643706154,-25.57877895898113,-29.5240263779097,2.0380015,-29.41753976229116,1.8867937,-2.2206734559344623,1.3660321367251427,8.315241718330698,-29.45354761320908,1.8688878,0.104291245,0.6666667,1.3874329626670625,6.839002621498635,3.468289514556131,0.2962858,0.9992973,-25.849777858084817,-20.824659672482063,-20.313103682752146,-21.2066685492784,-22.183799025496143,-23.730669509040442,-24.846322621201132,-33.932311559924266,-34.55373310436807,-29.089872063029013,-27.544880772659052,-27.21925371335164,-27.172516959992162,-27.489717386748723,-27.589698730855808,-35.98476989633665,1.5760796430875907,2.5470174498399447,2.747120662583659,2.2833845259393346,-20.101778522566974,-20.00121566471769,-19.158442138039323,-19.09541182066635,-19.330239617118792,-19.28784620918744,-19.105501821432544,-19.599897093884305,1.2624698844861393,1.2636310331085605,1.8853809284369518,1.883780194949083,1.7908403407006752,1.8626266512123848,1.8266346323860947,1.6145292804392621,1
6824,1.9674720961877132,8.713258255403154,-22.870306792854443,-27.309389312961706,-33.27201325914071,1.8654393,-33.12462747420828,1.7540338,-2.3401520783092935,0.655723706604328,9.99016879170293,-33.10879295329235,1.6349074,0.1721316,0.6666667,0.6983930469112047,5.08416966844087,2.9297511657217377,0.0,0.0,-25.779414087165122,-21.192419225354275,-22.10674267849213,-23.403632856926997,-24.27497470736612,-25.183264807592934,-25.876834191619274,-35.46164832702309,-34.51315189058808,-29.512731809926848,-29.37460859576335,-29.421360479981665,-29.240255710911395,-28.89840729125759,-28.539530071076307,-37.13206271770707,0.3775097110716705,0.9733593956353214,1.4172903681760132,1.4740497643208854,-20.037063094740404,-20.37557969731398,-20.090777488061352,-21.46364452863243,-20.257710536997628,-20.59126223737773,-22.791716644873194,-21.13620216501454,1.3845958560304046,1.1730400936068004,0.7288218637647149,-0.2564977409955572,0.9780338255090831,0.7242444226488841,-1.3185165728438617,0.7286274416315469,1
6829,4.187581989297309,5.862361051149611,-19.933817467793602,-24.06116081114481,-23.638764984034598,2.5859838,-23.542320852835566,2.4740937,-2.2237947076103706,2.136707069227351,3.6714942026090696,-23.578986460174434,2.4627209,0.107855745,0.6666667,2.091221509607007,8.94609067119019,6.975995160376526,0.58785677,1.0,-16.013554892933907,-16.52348862989408,-18.033541434928,-20.05557872803459,-22.147228849302795,-25.146384545225516,-26.406617074169592,-36.661952496628025,-24.75768567387022,-24.88841610445058,-25.382819364778747,-26.164543881953637,-27.246996496117905,-28.996103793114088,-29.251828272053007,-38.92311855464951,3.845497240847365,3.6073049583631502,2.9238342793098457,1.4739638250220417,-15.606518444324989,-15.896023947464414,-15.978467556659155,-16.2951272243737,-17.51962525047592,-15.876750269083963,-16.471211856068557,-15.74724405748187,3.714154243308704,3.392664541508194,3.345248639316918,3.038266058959818,1.9181391670208283,3.295814048202953,2.810844713765419,3.4844138056535856,2
6831,2.6390747580348113,7.176738589154509,-21.767832595105805,-26.105171007603307,-28.988367735252716,2.3888113,-28.959443968631984,2.377764,-3.796390146412308,0.3698409701840549,-1.2360884688891258,-28.950629338692508,2.3438504,0.046309754,0.6666667,0.1888781817406843,6.968152957401808,3.840554071025926,0.5546057,0.9974974,-17.9177417447059,-18.762780310551612,-20.401706449807644,-21.98561968318381,-23.465809450112644,-24.904354669991694,-36.999287329191816,-36.237930919266695,-26.67219115684006,-27.13422004571489,-27.730625615645213,-28.05447436845016,-28.492143469350133,-28.670624276688937,-39.72303625445178,-38.11364718511202,1.8623683070327497,2.0517775980228086,2.09631901484395,1.7098514240702372,-17.93731973010937,-18.903112278097137,-18.17089284391852,-17.781458682421366,-18.458455669744556,-19.04762212936916,-19.135788692974806,-19.19016183733601,1.8030155974254187,0.8802456884082067,1.7606898845229004,2.109586584534131,1.528018821196297,0.788167011085317,0.8224465523140693,0.9002767882707198,2
6832,3.299352087773853,6.222091329078888,-21.27686784645049,-25.660443859834608,-26.16218801098063,2.441911,-26.091211348153248,2.359698,-2.5935580411087362,1.2066384283912144,3.81619988609283,-26.12987556838062,2.3704255,0.053187434,0.6666667,0.918587971198198,7.57161509095909,5.683740638751924,0.8713592,0.9990096,-18.99112135886488,-18.436284856079297,-19.638205595127783,-21.580337806605478,-23.292391012640604,-24.969347900214576,-27.115725081242083,-27.284957232203123,-27.73283851898653,-26.789521747783635,-26.965235771282728,-27.66393338919543,-28.355149720060435,-28.781981177440965,-29.91213404011411,-29.431429429620053,2.9282698653223966,2.6765170058588574,2.1842650899237563,1.5949749238424424,-18.69024837293528,-18.72489247773053,-18.981096895984944,-18.964186342383318,-19.616954840298064,-17.721935006070865,-18.41797334254253,-18.36855828082175,1.3829550444158965,1.4861083192808233,1.3173076884967827,1.1665250813319863,0.6841901522094094,2.2763329324975405,1.5655308356319992,1.7711831080380152,2
6836,5.830706801109801,7.001876752555071,-17.132445479950324,-21.706722592154073,-24.038179106011587,2.3030477,-23.91563192071491,2.3379402,-2.444721056127822,3.363666216418642,5.054102299489093,-23.915133196297518,2.2871451,0.15587491,0.4682284,3.390801262126643,10.796117666630039,11.40530145621026,1.541038,1.0,-14.183195822587118,-14.601750917558538,-15.772266057597736,-17.366243799112187,-18.890011490814555,-21.11732409521096,-23.935939612800784,-39.20658774578131,-22.92412928864749,-22.944668227563685,-23.07885973815762,-23.432937014384798,-23.946678006502307,-24.95419195556314,-26.8208455521648,-41.58548617533382,5.3010309665591935,5.350413000870552,4.994513293423271,4.060756753059509,-16.07862776704895,-16.879887235904246,-15.647673250544212,-15.245436826661983,-14.19724265330546,-15.055553380437011,-14.607932423510945,-13.63505820746522,3.5547927053685724,2.824025301888013,3.7847299611596092,4.040836627536561,4.816855828363402,4.067801518725225,4.420429843251411,5.210820614547572,2
6841,3.6260629161785793,6.927568984648324,-20.586663751229302,-25.254252446496,-27.505682605999286,2.0817912,-27.44392970300684,1.9958432,-2.8453814440222946,1.3740763492706163,6.963334440904413,-27.480352004017167,2.0086808,0.034944747,0.6666667,1.2447492298079383,7.491259174796112,5.319118514764076,0.63903695,0.9996331,-18.77190432367211,-19.228131326582005,-19.61558554655033,-20.960994332353415,-22.128745107658453,-23.439370849341383,-24.889686500375877,-27.24066019307978,-27.498469960420984,-27.54091752332941,-26.89035708779409,-26.997691901385622,-27.132363963211507,-27.19952147242469,-27.62135644951338,-29.209393486385206,2.801718714284766,3.12134430000304,2.981296182977735,2.5661272581999546,-20.217865090746233,-19.08564485111284,-18.722865233066305,-19.24431726190324,-18.492822637273573,-18.239808254707935,-19.48134401549789,-17.50663370949683,0.7977020056970379,1.9992527671240834,2.0071772928151463,1.5481842936404782,2.1546660686261645,2.3510014377958175,1.166004790942513,3.0278845003118806,1
6847,3.422223541183163,6.376123262315787,-21.114462869881876,-25.4775826439742,-26.360695618320918,2.4517908,-26.288364532845716,2.3988671,-2.703068032739935,1.2888038235622137,3.3994862518475317,-26.33626638707013,2.4117773,0.032411616,0.6666667,0.8448570697941364,7.762828135599829,5.397613998971841,0.6286675,0.9993116,-18.03571424282797,-18.28040625541354,-19.49523144630336,-21.38716450416274,-23.049702172848207,-24.70910660804046,-26.10659384115617,-42.611752841320964,-26.779372726212195,-26.637050514265745,-26.82422194689971,-27.470701623857043,-28.110453568203003,-28.518474952930152,-28.897452508097526,-44.739746421572896,3.023957561458327,2.8414439213627545,2.3735520406091806,1.9175115009388837,-17.853783414618626,-18.126907597563857,-17.56009279886809,-17.49304555022431,-17.881647731027705,-18.06381640221643,-18.894497359661276,-17.27402009832778,2.1337729083946226,1.9429576467970007,2.431664590232481,2.487762399107878,2.1711594833603987,1.8767577871494485,1.3032220187698,2.6868719867013064,2
6848,3.6488762388857463,6.638756907408193,-20.708120607135395,-25.361952579764694,-26.876328890212896,2.2197626,-26.801592390382194,2.1135602,-2.5407365770453834,1.5244053762469096,5.918273500603269,-26.826314671708047,2.085828,0.08477648,0.6666667,1.6472780576572632,7.648594306496204,4.598196385470022,0.38244402,0.99890375,-18.050483872917134,-18.472045947383165,-19.63336346103127,-20.94018482408729,-22.277201321943682,-24.25956891343145,-36.833511843661405,-35.75225360129377,-26.779155956156405,-26.79376577226892,-26.92436696483115,-26.9949584771214,-27.307526354160736,-28.046301109465702,-39.60128461630029,-37.83654464572121,2.971886051026524,3.17110279384767,3.002892134967602,2.0954991169850548,-18.16841207419884,-18.90973969472973,-18.303397656798243,-18.275406688329202,-18.05616683527399,-18.594646602752224,-18.01748938597043,-18.562501195855127,2.288238786238148,1.7272380716960443,2.2429144651574022,2.2688696220372577,2.3622735539487483,1.977845224368521,2.3534110493067026,2.0140879963208755,1
6849,2.6760837414449408,7.193745095375988,-21.74128391466226,-26.177212976641123,-29.05959061019674,2.2639325,-29.00609031557289,2.241876,-3.2626998731292547,0.6318495885998917,4.034850894386052,-29.02675735158743,2.2213714,0.034198135,0.6666667,0.10579298273045992,6.696163325313812,2.485935453721033,0.0,0.9983027,-22.498289222976492,-19.697330649941293,-20.40543006318997,-21.946336864243257,-23.592777099956866,-24.56186366519691,-26.072302769749733,-33.8379102098803,-31.24782816505567,-28.0567608559431,-27.72005158362813,-28.003181968206963,-28.60481349206143,-28.316123763754494,-28.78175405173379,-35.66760747904938,2.0210722805249053,2.2044402604697058,1.826653358967795,1.8566425352569866,-18.968388053386587,-19.313603584969847,-18.49755949949186,-18.866013011705544,-18.527735874733207,-18.89166453804072,-18.595314392506168,-18.670590800189462,1.4573563122539803,1.429709388223328,1.710165175429087,1.454348599224988,1.4166936128792968,1.1718062232215922,1.4930943414642106,1.605295260694997,1
6850,4.742339465968999,6.48774115536064,-19.006521335683836,-23.639482594075446,-24.809969068639706,2.2319756,-24.721906115215248,2.1341686,-2.4664959319249324,2.380824390885871,5.697415011991753,-24.76347733375022,2.1334226,0.06718795,0.6666667,2.305562057434996,9.275990275299717,7.155706168012856,0.48589805,0.99991924,-16.474762493207198,-16.764294551686707,-17.808823012894756,-19.217484113308455,-20.736081561963747,-22.672425108848987,-24.098263313520725,-34.05230369236468,-25.20412640043314,-25.088812979953914,-25.104775228132866,-25.27768941959261,-25.774311366595338,-26.46696224242795,-26.87646774746481,-36.166386663413405,4.147221049922412,4.31414472137965,3.917284939750039,3.144196541335068,-16.477084175917483,-16.400680760513314,-16.17935193319605,-17.54832620658157,-16.29239769609767,-17.3944342004927,-16.466826510917826,-17.02664989430708,3.4922563633621673,3.5172543462663532,3.6199543933836393,2.5284806676145557,3.531740345916247,2.573741979782912,3.312623741495428,2.96904904594036,2
6852,4.7365663982365085,6.516516692312623,-18.975550962435697,-23.64565499506073,-24.9224254636119,2.1719177,-24.841413478011365,2.0663116,-2.527223636252035,2.3187927366613996,6.101448761974861,-24.88119372864692,2.0667546,0.06263211,0.6666667,2.2754895005588107,9.10522327113501,7.544281842240118,0.6985555,1.0,-16.628233149732885,-16.896647665441506,-17.8690364705895,-19.24697399146894,-20.591771696219393,-22.456164825242116,-24.424375385082072,-26.209595047669904,-25.35559501405839,-25.21529839629664,-25.156696419527854,-25.29922873217483,-25.619433934602966,-26.240933724413207,-27.190155525341027,-28.290050170352536,4.125188289097592,4.2519747250087905,3.975910479643423,3.237741991830438,-16.913508670477725,-16.66566318676339,-17.42808128703764,-15.38198432237033,-15.968499877582683,-16.913037179799147,-16.99435246580877,-16.330023451750694,3.2624674180069664,3.3227633247132045,2.778721909542373,4.313050690762775,3.898253483544605,3.02150767374167,3.0238895075867074,3.6039656930383854,1
6861,1.5599560290821068,7.093509437651567,-23.102972607978,-27.405293705654874,-30.106370502203237,2.4241984,-29.92404506270283,2.345373,-1.9439758410358714,0.8835335045199261,5.887040481732578,-29.912061864003427,2.2165682,0.28519946,0.6666667,0.9064151282288397,5.850536581441812,2.8187221461122527,0.18075262,0.99515283,-30.697384862376346,-20.449100212734447,-21.79465140513729,-23.06741935490152,-24.73026577194004,-28.42489860064228,-37.67431764511679,-35.43698802472941,-39.45322117623695,-28.82391609221081,-29.127583831749213,-29.13965007403899,-29.76061310696298,-32.1945442487328,-40.40207987176936,-37.32534997608762,0.8816956185121341,1.4463103535451605,1.0987381657550224,-1.646697346008742,-18.885604824503645,-19.373267689475195,-19.434012430917047,-20.827545250523162,-20.016031830706808,-19.88431407255433,-22.9616390061361,-19.75151813223824,1.0443998069514666,0.9395686733071776,0.8546420131661261,-0.16165241507624314,0.16193413830338027,0.2485377290057029,-2.646890654993296,0.6204956733796063,2
6871,2.7243717437680366,7.76184651207188,-21.369773354484042,-25.793954493558772,-29.975714759868424,2.2820876,-29.899097686490936,2.244701,-2.7211700917071333,0.8266032828502219,5.902353376184214,-29.900287783898882,2.1900458,0.10395943,0.6666667,0.8804433434578939,7.091323891212467,2.9267292413011337,0.29815573,0.9995307,-26.57835872597977,-20.956460959063456,-20.169487138723554,-21.676330914364375,-22.882698763457935,-24.55342784768031,-26.039676354621932,-29.23402734764188,-35.32861296256477,-29.317645856980022,-27.48619970454305,-27.734930797282185,-27.896826234142083,-28.309442660595664,-28.751218744258132,-31.07054591412878,1.5599648798557866,2.0789430630250254,2.345296719491741,1.8322126671134953,-18.89702283742453,-18.845861569850324,-18.43741967813821,-18.68495040813521,-19.23986648406701,-18.669559551487144,-17.749664849871447,-17.959884626459523,1.17277949473111,0.9166147379112444,1.6723869754898077,1.1712430015789932,0.5507164674315534,1.16549389284353,1.668385714134085,1.5815627506679253,1
6877,3.8375656737939683,7.117945780591789,-20.12517785768853,-24.93834780217352,-27.44200948765105,2.1216867,-27.32231811449391,1.9910426,-2.089586589089042,1.933501377712243,7.154140791200166,-27.373933904491896,1.9991512,0.09565353,0.6666667,1.7792558909443639,7.845718535862375,3.7103377443572083,0.19004393,0.99979174,-22.668171919345713,-18.541078823965933,-19.288038390434608,-20.404376506831408,-21.724864995408808,-23.658582084319548,-24.947819301474365,-26.710093570304966,-31.378667516523723,-26.82542148345777,-26.546918883100915,-26.442801145684967,-26.747905309782492,-27.448973307434485,-27.73070940211075,-28.86548964579741,2.898649732036698,3.4086740788809133,3.266423879117718,2.501259099869171,-18.314008855391254,-18.396139526996254,-17.885000590194004,-18.336442621885286,-18.190777522350327,-17.957408045546025,-17.70781183760187,-17.986499927124427,2.469234260942188,2.4345293498429705,2.6552072071585573,2.363939446911501,2.318397788126244,2.6308861974760576,2.7742642348603366,2.5821028770945884,1
6880,2.7013091981758497,8.18677868961402,-21.75486885616593,-26.246552821053243,-31.207357979341186,1.9892974,-31.20578244642392,1.9868907,-6.5792335641658255,0.0,12.906034999945831,-31.190759244677295,1.9643347,0.01317785,0.6666667,0.0,6.181855872225772,2.1887113311598196,0.0,0.99963987,-17.732406869339577,-18.818772009905572,-21.28163681354051,-22.104447308744895,-23.408230767725676,-24.043229590760507,-25.51021297683418,-26.972441180904045,-26.471073166138204,-27.151348793622528,-28.564186134101114,-28.134438917474107,-28.388194891220504,-27.77063606884093,-28.187592080355277,-28.694094166864705,0.8543432521294644,1.9966762154999158,2.1098054069903056,2.118319662016293,-20.175456797119057,-19.739655018058297,-19.340251814418874,-19.639234112978883,-19.3020854473217,-19.024426371028515,-19.581882009100195,-19.072260481620468,0.6140894213233684,1.408089984901234,1.6855386166019888,1.6006589695560052,1.6457878555718044,1.2419195602977988,1.2309745484032935,1.7950954146286393,1
