,y_probs,classes,bin_n_ascending,bin_n_descending
504,0.7804883837117282,0.0,35.0,39.0
505,0.9968894081040898,0.0,73.0,1.0
506,0.8685469794262646,0.0,39.0,35.0
507,0.6124971738620523,1.0,24.0,50.0
508,0.9763401890361996,0.0,53.0,21.0
509,0.6130543941393827,1.0,24.0,49.0
510,0.6094004175410688,0.0,24.0,50.0
511,0.9862737535018736,0.0,59.0,15.0
512,0.991111560698432,0.0,63.0,11.0
513,0.46330824951499905,1.0,9.0,65.0
514,0.5247711946189619,0.0,15.0,59.0
515,0.9737684000288072,0.0,52.0,22.0
516,0.3361145451164149,0.0,3.0,71.0
517,0.9935940326353528,0.0,66.0,7.0
518,0.6026095869559748,1.0,23.0,51.0
519,0.718840333650814,0.0,32.0,42.0
520,0.957318471798444,0.0,47.0,26.0
521,0.9821529349831056,0.0,56.0,18.0
522,0.7934959277198681,0.0,36.0,38.0
523,0.9533103409775634,0.0,47.0,27.0
524,0.39725117528672577,1.0,5.0,69.0
525,0.5656323221831223,0.0,19.0,55.0
526,0.8891637005768119,0.0,40.0,34.0
527,0.9892777499324292,0.0,61.0,13.0
528,0.5097488578376018,1.0,14.0,60.0
529,0.6071810043896104,1.0,24.0,50.0
530,0.927357667846844,0.0,44.0,30.0
531,0.4460359495162321,1.0,7.0,66.0
532,0.972291069921024,0.0,51.0,22.0
533,0.9855592304132632,0.0,58.0,16.0
534,0.9923235644261896,0.0,65.0,9.0
535,0.42786099957910806,1.0,6.0,67.0
536,0.5347041310466767,1.0,16.0,58.0
537,0.344220916693129,0.0,3.0,70.0
538,0.8268151651868031,0.0,37.0,37.0
539,0.9772779216407368,0.0,54.0,20.0
540,0.6839954770963387,1.0,30.0,44.0
541,0.37722676954162143,1.0,4.0,70.0
542,0.9964991108447542,0.0,72.0,2.0
543,0.4728827657232072,0.0,10.0,64.0
544,0.4503261450623624,0.0,8.0,66.0
545,0.9703993562156684,0.0,51.0,23.0
546,0.99761421405073,0.0,0.0,0.0
547,0.993011314270247,0.0,66.0,8.0
548,0.7900052204197594,0.0,35.0,38.0
549,0.645686565068377,1.0,27.0,46.0
550,0.45144980863381484,1.0,8.0,66.0
551,0.9551593156916208,0.0,47.0,27.0
552,0.7762788939377915,0.0,34.0,39.0
553,0.4937242199545537,1.0,12.0,62.0
554,0.5955948749160567,1.0,22.0,52.0
555,0.8201344439097482,0.0,37.0,37.0
556,0.8468454311258359,0.0,38.0,36.0
557,0.9584129656820064,0.0,48.0,26.0
558,0.0607151060226474,0.0,0.0,0.0
559,0.9879181036651664,0.0,60.0,14.0
560,0.996006264090456,0.0,72.0,2.0
561,0.433032414166965,1.0,7.0,67.0
562,0.6031651912571806,1.0,23.0,50.0
563,0.9714817803660644,0.0,51.0,23.0
564,0.9911237026532708,0.0,63.0,11.0
565,0.9931854640127288,0.0,66.0,8.0
566,0.9966523674444234,0.0,72.0,1.0
567,0.6084505764485459,1.0,24.0,50.0
568,0.9822902013168776,0.0,56.0,18.0
569,0.5275326296240207,1.0,15.0,59.0
570,0.9416512807496886,0.0,46.0,28.0
571,0.49619746192615627,1.0,12.0,61.0
572,0.96666024361855,0.0,49.0,24.0
573,0.6172844625691052,1.0,25.0,49.0
574,0.9364759993054048,0.0,45.0,29.0
575,0.9804712106340168,0.0,55.0,19.0
576,0.983480943286199,0.0,57.0,17.0
577,0.996785187317254,0.0,73.0,1.0
578,0.5156585001831037,1.0,14.0,60.0
579,0.9578879948374835,0.0,47.0,26.0
580,0.9871320212227014,0.0,59.0,15.0
581,0.9440164744511568,0.0,46.0,28.0
582,0.9952238353884236,0.0,70.0,4.0
583,0.9854475511841134,0.0,58.0,16.0
584,0.9955246981461608,0.0,70.0,3.0
585,0.3866932473051313,0.0,4.0,69.0
586,0.613834096815878,1.0,25.0,49.0
587,0.4133532581968428,1.0,6.0,68.0
588,0.9679059842858364,0.0,50.0,24.0
589,0.9661079082202272,0.0,49.0,25.0
590,0.9779608781276412,0.0,54.0,20.0
591,0.996906649795504,0.0,73.0,1.0
592,0.9730921500060165,0.0,52.0,22.0
593,0.581554487555978,1.0,21.0,53.0
594,0.1447127817009801,0.0,1.0,73.0
595,0.5083004678569873,1.0,13.0,60.0
596,0.4781172732509521,1.0,10.0,63.0
597,0.806182943109049,0.0,36.0,38.0
598,0.521439314135563,1.0,14.0,59.0
599,0.5723741479195008,1.0,19.0,54.0
600,0.9957119221524936,0.0,71.0,3.0
601,0.7528625666655092,0.0,33.0,40.0
602,0.983530808398003,0.0,57.0,17.0
603,0.993959653256327,0.0,67.0,7.0
604,0.6839887130467234,1.0,30.0,44.0
605,0.3361699715624914,1.0,3.0,71.0
606,0.6379324212109364,1.0,26.0,47.0
607,0.0138264403686001,0.0,0.0,0.0
608,0.932461242193066,0.0,45.0,29.0
609,0.5408631499729084,1.0,16.0,57.0
610,0.993272017808674,0.0,66.0,8.0
611,0.6144783330115016,1.0,25.0,49.0
612,0.6671881140958915,1.0,29.0,45.0
613,0.9776122930126132,0.0,54.0,20.0
614,0.6044584108578531,1.0,24.0,50.0
615,0.9823935606064288,0.0,56.0,17.0
616,0.9934853516773552,0.0,66.0,8.0
617,0.6806566435977991,1.0,30.0,44.0
