,CLASS1,HR_25,PL_Index,HR_35,HR_24
241,1,0.0233236341537327,1.8780916,0.0159384945194138,0.0132551247636271
242,1,0.0222714001557264,1.9424087,0.0156946319649063,0.0121101072343477
254,1,0.0286447071147219,2.1141944,0.0210090530197275,0.0170670408708507
261,1,0.019186355003684,1.8286432,0.0066721675443493,0.0135596225229686
266,1,0.0219182122377113,1.9449022,0.0157481675983688,0.0127722280632917
281,2,0.0329068755610183,2.2838695,0.0222995403566599,0.0213771523532847
285,1,0.030703182578855,2.1993947,0.0190125135485962,0.0196678899463453
286,1,0.0141798022945804,1.8221352,0.013161983026967,0.007196246492014
290,2,0.0438536509447432,2.64323,0.0296775777393519,0.0308832095772613
291,1,0.0433090780694585,2.3312454,0.0325715169541303,0.01977275088354
301,2,0.0449477171265806,2.6504521,0.0304666870646652,0.0272573186540331
302,2,0.0426214954252234,2.34918,0.0299581145372331,0.0250400988576839
303,1,0.0216615650012698,2.0401638,0.0155921949382302,0.0136307254666605
305,2,0.0480219207391523,2.627819,0.033323371697461,0.0296408387619525
308,1,0.0240832498490364,1.9886951,0.0145900115469353,0.0166493709380695
312,1,0.0258636605919295,1.9899724,0.0160448557171519,0.0183314915309073
318,2,0.0453997818404217,2.7253609,0.0319328453501319,0.0313589767755044
319,1,0.0288158128893389,2.0751011,0.0196566988413879,0.0178567891302745
320,2,0.0392675509497336,2.4949648,0.0269092561109851,0.0321573158767094
323,1,0.0209071235430269,2.0050452,0.0146145761035431,0.0128181437659841
325,2,0.039990380077929,2.350551,0.0283206201841278,0.0232232444495859
326,2,0.0410589429261672,2.4346988,0.0300706062945108,0.0254909289015775
327,2,0.0305986807856518,2.2274601,0.0207620115349868,0.0197033004944445
330,1,0.0275583969025461,2.0986667,0.0177864619809951,0.0176649687337938
331,1,0.017443599530793,1.6899698,0.0119049744079372,0.0138618130764708
333,2,0.0490002867997782,2.6467783,0.0322412543263486,0.0309297925360595
336,1,0.0282080671805896,2.079746,0.0202022039725566,0.01659851726384
337,1,0.0221250783333808,1.9143653,0.0133328688647985,0.0154844615380607
338,2,0.0351301307355937,2.4031923,0.0211035118971741,0.0236489708335375
340,1,0.0163511899906499,1.9070705,0.0126220394037826,0.0118424545010684
345,2,0.0354694259832975,2.352834,0.0233525472687585,0.0224010939876702
349,2,0.0349022919607179,2.310125,0.023757741717293,0.0210919318848924
350,1,0.016118064973723,1.7700862,0.0105895810288488,0.0088038191394909
352,1,0.0399982512439511,2.3699274,0.0294038897807071,0.0185898971473278
356,1,0.0231397506965599,1.9139365,0.0157085877721359,0.0138372798944392
361,1,0.0252375820809287,1.9275442,0.0172340814626482,0.0134493810668007
365,1,0.0208611034662481,1.6909957,0.0032780666374612,0.0145914159556382
367,1,0.0221570901059375,1.8547863,0.0153483792974916,0.0137397450911966
373,1,0.0312424265242995,2.183942,0.0220361489152514,0.0172789185868904
379,2,0.040633222994286,2.529519,0.0290805626334878,0.0279054514388645
383,1,0.0266766102704325,2.0862076,0.0157178845611508,0.021327823643874
384,1,0.0289145230112989,2.157527,0.0198898700322966,0.0179517140451509
385,1,0.0205243584434255,1.9352778,0.0126225231212037,0.0137075069506775
398,1,0.0161124460216365,2.0112772,0.0144211029677242,0.0091403161390109
399,2,0.0410107598514406,2.4772136,0.0267728667152913,0.0266319941004973
402,1,0.0145913988697353,1.8156923,0.0119737231561862,0.0072558304607844
406,2,0.0356457540760954,2.3127844,0.0241860605363765,0.0232426932956188
407,2,0.0121019945401894,1.9250971,0.0146175724699536,0.0037251130134444
408,1,0.0290030368842636,2.1276338,0.02128623891675,0.0166413265089746
412,2,0.0373169929877009,2.354668,0.025176459297403,0.0234165945575039
417,1,0.0206866745413691,1.9000372,0.0128272696396433,0.0116517212181394
423,1,0.0140433161427753,1.7204688,0.0094904399322219,0.0086079528112373
426,2,0.036846252848178,2.3099995,0.0256101260809421,0.0215860365316559
429,2,0.0461472939293518,2.5580194,0.0325128816017969,0.0281723383057522
430,1,0.0238890851392214,1.9565228,0.0158164994707492,0.0158358711999
431,1,0.02284390690681,1.9688947,0.0157661416063225,0.014082806490572
434,1,0.0289933636428205,2.1661005,0.017398618358601,0.0191588918012559
443,1,0.0171688794610375,1.8783762,0.0088887138850838,0.0136096501000879
445,1,0.0298946209419845,2.1205719,0.0201627856667447,0.018700309802729
447,1,0.0230549211441809,2.2340415,0.0172444339161691,0.0188305385379465
450,2,0.041032334918509,2.4516993,0.027066223291561,0.0260063711077934
451,1,0.0206053298990294,1.8332139,0.0140653001034886,0.0127767506808785
454,1,0.0314506806211367,2.1271718,0.021824846760366,0.0184968624959399
457,1,0.0274600760874295,2.0592484,0.0212808650989229,0.0136608904139998
459,1,0.0221836896783965,2.0509503,0.0159822269320906,0.0128139832130802
464,1,0.0137930639929095,1.7966598,0.0117631591715434,0.0088745721875367
477,2,0.0450647008579073,2.5920868,0.03059749025467,0.0275781986624272
478,1,0.0246505857088403,1.9987,0.0159557970637856,0.015261418225667
486,1,0.0221051670951419,1.9608139,0.0137475655692332,0.0137518492391167
490,1,0.0327120818439613,2.2507455,0.0253650550225468,0.0197939419945827
498,1,0.0253022896503623,2.1060266,0.0150574268515356,0.0170190405208192
499,1,0.0148931259993155,1.7763389,0.014041375625193,0.0069296659522155
503,2,0.0467197854290351,2.453857,0.0347860429014768,0.0258418444500689
509,1,0.0290587532136591,2.1219501,0.0205571350437664,0.0185027842826509
515,1,0.0215688677074939,1.9477135,0.0134542633876703,0.0154524607962702
516,1,0.0249820343788459,2.0319102,0.016827917498292,0.0163179562228744
518,1,0.0137491176530737,1.8354657,0.0115107195005534,0.0078680225976982
525,1,0.014400558721812,1.8009216,0.0079490072713323,0.0071396336652908
527,2,0.0437574333297956,2.3560877,0.0325344857694826,0.019824811893025
532,1,0.0294311248236216,2.2739365,0.0190015235976266,0.0192934497621856
533,1,0.036781181654621,2.2891583,0.025741808359028,0.0212031009705673
536,1,0.0134480738017786,1.8632143,0.0120726719773182,0.0056269869262482
542,2,0.0474818081745281,2.4931405,0.0342195981877013,0.027710849648755
544,2,0.049601614694428,2.6119077,0.0355697268425288,0.0281348189121203
548,2,0.0375964385753171,2.3654034,0.0254717894573363,0.0214936822006046
552,1,0.0343302918116602,2.462777,0.0221982697569503,0.0276388732448018
559,1,0.0313015106255726,2.214236,0.0216985329740374,0.0159665278261857
560,1,0.0155444469697091,1.8812803,0.010917935381797,0.0085161487358551
561,1,0.0178921822464999,1.8335525,0.0125034821830199,0.0123863148300375
562,1,0.0206643466789452,1.8405137,0.0119930662462068,0.0128463126446263
565,1,0.0314994960425187,2.2515707,0.0229206606529559,0.0164016897600844
568,2,0.0395765294761246,2.3068495,0.0278617333993811,0.0237843249742466
570,1,0.0283287391792596,2.0846128,0.0187986685779554,0.0178256195711716
577,1,0.0266131158874198,2.0531473,0.0188926758319355,0.0157620797022454
593,1,0.0179428458609507,1.88119,0.0146991437924444,0.0097461467164185
595,1,0.0216019176191494,1.9528776,0.014882640283023,0.0131458372229149
597,2,0.0390490133281574,2.353907,0.0283077896343942,0.0230782476743498
