,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy
308,1,0.14599109,0.0166493709380695,46.39756,3649.7273
309,1,0.0,0.020892717367147,5.9618673,7445.896
312,1,0.28900188,0.0183314915309073,12.511329,2873.151
315,1,0.0,0.0108742758760023,6.3017282,4497.4937
318,2,0.34870806,0.0313589767755044,14.940613,503.13306
319,1,0.37257105,0.0178567891302745,155.20131,776.33264
320,2,0.52293426,0.0321573158767094,6.812342,914.672
322,1,0.0,0.0075533355018099,5.5944524,3221.823
323,1,0.0,0.0128181437659841,17.96409,2050.6216
325,2,0.76530045,0.0232232444495859,70.55322,555.12805
326,2,0.86603665,0.0254909289015775,21.271841,585.7902
327,2,1.0150174,0.0197033004944445,38.742313,1153.0234
328,1,0.30948216,0.0265090632261554,11.205218,883.7337
330,1,0.379281,0.0176649687337938,37.64927,1621.4591
331,1,0.41812518,0.0138618130764708,10.510932,7858.0493
333,2,0.70797324,0.0309297925360595,13.947945,647.2438
336,1,0.20147334,0.01659851726384,41.88115,1187.8068
337,1,0.7662553,0.0154844615380607,47.701366,2526.1877
338,2,0.8799592,0.0236489708335375,30.647429,737.8447
339,1,0.37265995,0.0017411992731172,10.9284935,4997.5635
340,1,0.03718294,0.0118424545010684,15.63953,2546.6372
341,1,0.577754,0.0225519442306954,6.0456643,2594.9897
342,2,0.0,0.0298664349125873,4.711715,655.27325
344,1,0.0,0.0118655337294878,3.9587195,4188.721
345,2,0.99932146,0.0224010939876702,26.498932,1094.6694
349,2,0.57976186,0.0210919318848924,57.702072,1049.114
350,1,0.0,0.0088038191394909,17.84154,3083.7349
352,1,0.0,0.0185898971473278,4.3986087,1587.877
356,1,0.13753784,0.0138372798944392,91.17019,1145.064
360,2,0.0,0.0101975190913367,4.344359,4168.456
361,1,0.2866901,0.0134493810668007,15.483045,2938.1946
365,1,0.35518366,0.0145914159556382,15.22335,7320.02
366,1,0.0,0.0249211785817746,5.2642193,7572.9297
367,1,0.2986392,0.0137397450911966,24.63712,3197.745
370,1,1.0216829,0.0205607730604453,9.006327,1578.9011
372,2,0.0,0.0256544935818664,5.328333,753.21234
373,1,0.49980885,0.0172789185868904,28.198174,970.0506
375,2,0.0,0.033871588778394,7.8138394,382.92303
379,2,1.170488,0.0279054514388645,13.1522255,705.30426
383,1,0.0,0.021327823643874,6.4977074,3093.7573
384,1,0.12554996,0.0179517140451509,25.454832,1104.9729
385,1,0.96830565,0.0137075069506775,17.10013,2696.778
386,1,0.0,0.0411561333785972,4.2376213,2289.7893
388,1,0.53676236,0.0238305197607691,7.8437347,991.3033
395,2,0.840678,0.0159709363242971,7.1214323,2295.3474
398,1,0.060885843,0.0091403161390109,10.988258,2480.4307
399,2,0.69751227,0.0266319941004973,20.428009,572.5509
402,1,0.5288636,0.0072558304607844,38.43588,4006.6326
406,2,0.44215408,0.0232426932956188,65.05709,715.51337
407,2,0.0,0.0037251130134444,9.965991,2938.8613
408,1,0.0,0.0166413265089746,14.5246,1831.0087
412,2,1.1010146,0.0234165945575039,59.269447,642.4592
416,2,0.8298214,0.0250642359254788,12.648095,689.7049
417,1,0.16313803,0.0116517212181394,30.855371,2301.4739
419,1,0.36152413,-0.0222761630277571,5.076831,8688.648
423,1,0.15536742,0.0086079528112373,104.148834,2421.055
426,2,0.95034295,0.0215860365316559,70.62777,738.83
428,2,0.0,0.0278428748778356,4.927248,425.55124
429,2,0.8475463,0.0281723383057522,38.22627,404.0092
430,1,0.31523117,0.0158358711999,40.553074,3459.0796
431,1,0.48239565,0.014082806490572,15.999188,3155.156
434,1,0.23253256,0.0191588918012559,16.476215,1608.5587
437,1,0.5349019,0.0232843138375896,7.8558993,1483.4222
443,1,0.44392523,0.0136096501000879,7.608292,4313.077
445,1,0.6684058,0.018700309802729,87.57336,762.67505
447,1,0.6692759,0.0188305385379465,6.682879,1997.585
450,2,0.61903656,0.0260063711077934,9.924049,851.6177
451,1,0.39411476,0.0127767506808785,45.684544,1701.2908
454,1,0.30240378,0.0184968624959399,111.308716,863.61633
455,2,1.5690353,0.0314886216399967,26.445267,407.73953
457,1,0.53462356,0.0136608904139998,21.65224,1465.6677
459,1,0.0,0.0128139832130802,15.893586,1753.6908
464,1,0.25417575,0.0088745721875367,23.2941,3788.7065
465,1,0.6520171,0.0194390389467114,9.227195,1999.6431
467,1,0.0,0.0147735041756276,4.7474036,2406.9163
473,1,0.33381924,0.0217732648773461,18.367558,1751.9292
477,2,0.64194876,0.0275781986624272,15.044248,584.08923
478,1,0.40652758,0.015261418225667,27.619675,2361.1997
479,2,0.65745693,0.054708366298238,4.2027283,498.4585
481,1,0.16672842,0.0173109156136472,17.960104,4440.9277
484,3,0.4260531,0.0182935582906052,9.926749,7582.211
485,2,0.32676908,0.0384446843253502,2.741277,441.35455
486,1,0.40643388,0.0137518492391167,40.257175,1531.9746
487,2,0.41537374,0.0205741336798886,8.731364,2049.4092
490,1,0.4303833,0.0197939419945827,17.4538,1150.6598
496,2,0.7344579,0.0270560135281146,16.058422,917.3897
498,1,0.5926611,0.0170190405208192,20.273046,1851.3926
499,1,0.41298202,0.0069296659522155,27.273413,2474.2642
503,2,0.99588865,0.0258418444500689,18.699427,804.7715
504,1,0.0,-0.0242338008225137,4.151485,13989.674
509,1,0.37177792,0.0185027842826509,29.376339,1002.2595
510,2,0.0,0.0272110563199545,10.334374,837.76105
515,1,0.4592857,0.0154524607962702,34.934772,1932.764
516,1,0.44325408,0.0163179562228744,23.387638,1255.1698
518,1,0.2048374,0.0078680225976982,13.557986,3186.1233
519,2,0.55630064,0.0248768584679704,15.82197,993.0424
520,1,0.7131926,0.0111295626079323,7.8956127,4877.5015
522,2,0.86125207,0.030443750226492,7.169045,771.2608
525,1,0.0,0.0071396336652908,10.458513,4965.1035
527,2,0.59786206,0.019824811893025,11.189045,1166.2592
528,1,0.56956935,0.0176316783092409,12.46326,2040.0671
532,1,0.49664712,0.0192934497621856,13.015724,2869.344
533,1,1.1866536,0.0212031009705673,47.1223,892.01337
536,1,0.31898677,0.0056269869262482,8.08378,4110.5444
539,1,0.25800827,0.0131641943050465,6.1285863,4639.15
542,2,1.1457661,0.027710849648755,69.58533,481.06982
544,2,0.88775665,0.0281348189121203,30.561274,568.252
547,2,0.0,0.0084293256137824,6.1201344,5741.9473
548,2,0.79630965,0.0214936822006046,33.263733,720.9136
552,1,0.0,0.0276388732448018,10.807272,841.9329
558,1,0.09449503,0.0200701499719872,15.757058,1730.2427
559,1,0.0,0.0159665278261857,10.998882,1595.5239
560,1,0.0,0.0085161487358551,12.302172,4412.6504
561,1,0.32336596,0.0123863148300375,15.144321,4722.2876
562,1,0.37764886,0.0128463126446263,74.383995,1754.0548
565,1,1.3208382,0.0164016897600844,14.313315,2269.9963
568,2,1.0886257,0.0237843249742466,190.3643,547.0052
569,1,0.38894582,0.0135787753651728,10.433853,2136.5635
570,1,0.3952649,0.0178256195711716,108.473495,918.9236
574,1,0.7474654,0.0171457666238819,14.814494,2672.1177
575,1,0.36993194,0.0148179668594432,14.82748,1904.1643
577,1,0.5196566,0.0157620797022454,20.299698,1692.8757
578,1,0.0,0.0208657115626076,4.886857,1426.486
581,1,0.0,0.0158053174648011,6.5354733,3102.353
583,1,0.11782144,0.0136747026906281,19.306042,4776.1333
589,1,0.0,0.0155584692287348,5.9486384,3674.2805
593,1,0.1746383,0.0097461467164185,11.924552,4728.3066
595,1,0.26182884,0.0131458372229149,32.310226,1664.4768
597,2,0.0,0.0230782476743498,16.832548,827.5641
598,1,0.26876882,0.0202443516380856,46.64856,825.96063
599,2,0.4110243,0.0361009150651342,15.307616,661.42267
600,2,0.7228722,0.019122830902242,88.283325,696.5675
605,1,0.29891938,0.0193864965948829,14.4810915,3781.9573
606,1,0.54263616,0.0179838519255675,15.464209,2713.5815
607,1,0.44613957,0.0205645342012022,5.984636,2082.1057
610,2,0.28757793,0.0313096109441208,5.3326683,478.32077
611,1,0.0,-0.0048311822117249,6.631683,5564.9185
612,2,0.93472654,0.0221589243260007,129.47285,823.1508
615,1,0.5888169,0.0035095917199944,9.151814,2952.3733
617,2,0.9199447,0.0234676680226586,25.883823,1122.666
619,1,0.47050664,0.0157263165482355,186.9741,1273.8538
622,2,0.0,0.023028652876582,6.954545,833.23425
623,1,0.19634141,0.0140643586360132,14.314509,4122.56
624,1,0.3215453,0.0101582162676902,15.263435,3245.782
625,2,0.4758927,0.0465260721806632,4.9878426,874.861
630,1,0.3577122,0.0220176400635608,12.184264,2038.0245
632,2,0.43589535,0.0257078564901886,8.93188,984.53815
635,2,1.0280292,0.0734319019472387,5.491669,302.9843
642,2,1.3472711,0.0170868779818273,8.478649,1846.2877
643,1,0.50792444,0.0121193362837205,15.956761,3831.1643
648,2,0.5932702,0.0259554460603731,8.340703,763.17163
650,1,0.18968205,0.0140077637008035,25.575588,2406.3828
652,2,1.4321,0.0227410504671668,11.69934,1053.1469
655,2,1.0305789,0.0210963491068239,82.76316,1183.5239
657,2,0.50161135,0.0286512677497884,13.145168,1331.9689
658,2,0.7453192,0.0311594013874184,32.154583,411.3874
662,2,0.8123775,0.024871036348514,34.653217,718.24335
664,1,0.2789728,0.0145440294503936,17.05085,2064.3645
665,2,1.4741691,0.0286827494651866,48.60506,416.9963
666,2,1.2256252,0.0258585565438313,16.3935,666.3337
667,1,0.0,0.0136981089053531,7.635337,3629.7097
668,1,0.0,0.0139525649504756,15.277015,6626.783
669,1,0.0,0.0140412098258026,9.07293,3477.035
674,1,0.0,0.0114159533613909,12.82764,2164.9453
676,1,0.0,0.0150609532490396,9.035584,3420.7988
677,2,1.446969,0.0216294478259233,37.086666,802.0716
679,1,0.0,0.0156965044101198,6.859276,3024.6282
680,1,0.4909183,0.009882799697097,13.624386,3210.9531
682,3,0.0,0.0178761568919216,6.523491,2312.1975
684,2,0.7612582,0.0231038997155912,178.35457,541.66
685,1,0.40585074,0.0137401132056388,20.565123,2228.3235
688,1,0.34247074,0.0122324351586538,37.684334,3128.7134
689,1,0.9990194,0.0203664361016693,144.56494,894.7909
690,1,0.0,0.0234229188864873,6.274292,6115.064
694,2,0.8438358,0.0283691763681886,16.558863,491.00162
699,1,0.0,0.0174699248736704,10.842164,2012.2163
702,1,0.37784892,0.0183103685610523,20.77289,3718.1204
704,2,0.60349196,0.0302820182789181,20.061272,566.50757
708,1,0.0,0.013823210355794,7.972815,3294.3962
710,2,0.7938455,0.0295391163648523,8.480946,523.4234
712,1,0.6883588,0.0164810396976605,30.243114,2064.514
715,1,0.39346272,0.0098094931947957,29.483458,2758.1921
718,1,0.5758964,0.0173175183349466,18.169683,2138.6875
720,2,0.72612786,0.029238386879503,13.837252,520.6228
721,2,0.0,0.0915771333700489,6.507496,456.92062
722,2,0.9467097,0.0261619332288895,71.458046,558.3656
734,1,0.3119648,0.0119528477283636,16.780472,4077.7424
740,2,0.762726,0.017711035160175,17.523247,1326.2301
745,2,0.6396318,0.0253296674856674,99.72479,435.75806
746,2,0.3343844,0.030290111697213,8.541355,740.6769
747,2,1.2946417,0.027027327862231,37.786686,499.34387
748,1,0.0,0.0152531130757802,13.057512,2359.7244
750,2,1.397636,0.0243986929781149,10.988957,1757.0021
751,2,0.79860777,0.0241010875230503,15.3380375,1256.2445
753,2,1.4663299,0.0307497481350933,7.3265905,819.153
754,1,0.65314007,0.0179435739373464,4.572666,2812.3774
756,1,0.42704675,0.0159300782355279,21.275236,2525.2727
759,2,0.5415614,0.0278035980251437,12.383144,507.34262
760,1,0.9286254,0.0058216670131296,7.786442,2859.8718
765,2,0.6982317,0.019738602602815,42.07726,1003.4206
766,2,0.0,0.0206663152420762,7.134152,1603.9681
772,1,0.7634931,0.0198210186956738,6.515493,1228.7161
774,2,0.11975377,0.0204703319900874,12.047947,1146.6658
775,2,1.9569927,0.0216772612712622,65.609764,659.24646
782,2,0.39243275,0.024235824897729,10.815214,837.7722
783,1,0.0,-0.0152613369446059,6.9885893,10363.065
784,1,0.42600566,0.0149594135643363,114.103264,991.2757
786,1,0.22907557,0.0181240797363147,62.481247,1108.4604
788,2,0.60206705,0.0222654117510301,42.681274,821.4995
789,1,0.0,0.0110321633504118,10.176293,4053.6453
792,1,0.55205154,0.0159651639185336,7.985806,3424.724
794,1,0.43211737,0.0169272597809051,8.146836,1634.5258
795,1,0.339896,0.0107583775925005,13.5763,4989.13
797,1,0.18630166,0.0154678255286923,33.77156,1956.6931
798,2,0.0,0.0053034279902073,4.34316,3247.494
801,3,0.32150677,0.0155029308259934,26.185318,2401.4055
803,2,1.2927645,0.0253951079654126,27.983913,715.847
804,1,0.0,0.0158183798147935,7.5344915,3047.3254
805,1,0.34311378,0.0146234883243516,13.762308,2306.3877
807,2,0.5906184,0.026162732126917,87.510796,577.16125
808,1,0.5385098,0.01228290454702,19.615696,4283.616
811,2,0.50578916,0.0223118729292292,11.832921,1149.4149
818,1,0.30398265,0.0069403072147862,19.97706,2458.2747
821,2,0.9281632,0.0212609023318068,14.514614,1519.1467
822,1,0.0,0.0120195457887121,16.409086,4864.743
823,3,0.34850594,-0.0093604029949214,5.332506,2272.877
828,1,0.0,0.0135713721953028,13.692459,4530.0303
829,1,0.27650476,0.0148903423874821,28.786041,1536.8129
831,2,0.0,0.0247015026990144,8.877196,1197.6425
834,2,0.8668572,0.0233788004829606,17.60633,683.9742
836,1,0.2502966,0.0080510194570269,29.822828,2403.4587
837,1,0.37611818,0.0127608125779792,43.3309,2114.8997
838,1,0.13397387,0.0117530560391516,25.883715,1991.3485
839,1,0.0,0.0018965299905922,4.129479,4199.004
840,3,0.6566099,0.0190994841942528,10.966792,9420.531
842,2,0.0,0.0256143584019578,5.2070785,1229.0231
843,2,0.0,0.0131976219093702,5.7846694,5290.633
846,1,0.25915295,0.0167257180694219,23.235636,2267.7073
849,3,0.50662124,0.0191876350525371,251.5423,974.9004
850,1,0.57709557,0.0040945329753455,20.408197,5744.0986
853,3,0.0,0.0268117492793925,4.26307,1438.916
855,1,0.0,0.0176769562949556,3.6442475,2890.6104
856,1,0.35657355,0.0257454171298083,7.3219776,1382.7957
857,1,0.16917014,0.0162149448381617,39.788887,2694.6006
859,2,0.566969,0.0326395450773023,4.708267,769.55646
860,3,0.13812888,0.018516522657035,19.441708,1849.5417
863,1,0.11748015,0.0119625094285424,26.636171,2018.0634
867,2,0.4633406,0.0406227887462849,5.1609483,973.5535
869,1,0.0,0.0106307018966048,5.021955,4167.4517
870,1,0.756446,0.01467540183402,41.50807,2300.3826
871,1,0.3705083,0.0121430718658733,35.272255,1804.0219
872,2,0.45325917,0.0313375927698169,37.897503,518.8951
874,1,0.27689254,0.015133431331571,24.080229,3175.7322
880,2,1.3298723,0.022350146341053,6.2245407,840.53424
885,1,0.0,0.0041954265863059,7.1302943,5738.507
895,1,0.36951154,0.0137122646464562,29.252275,1584.5408
897,1,0.39027613,0.0132701765204276,7.93546,9873.162
898,1,0.294744,0.0189775815517561,24.013233,2995.416
899,2,0.8148049,0.0244981327642397,9.786628,962.5734
906,1,0.606509,0.0157420540904331,32.362617,1574.5503
907,1,0.2561892,0.0115387334474558,41.379913,2049.7812
909,1,0.45248845,0.0128393434051534,38.39438,2764.468
910,1,0.28728473,0.0160321165990378,80.157974,1068.8932
911,1,0.42507148,0.0196550294528865,103.37487,648.91846
912,3,0.115190186,0.0131838983192513,11.00312,6789.494
914,1,0.4666982,0.0170465217236428,22.091341,2246.4998
918,2,0.5385262,0.0536194823889621,14.541455,557.9488
919,1,0.4143376,0.0080489429867755,9.688296,8848.365
921,2,1.0807735,0.0251072707705419,8.58366,684.8371
922,2,0.14585905,0.0273700862345872,12.41161,532.0023
924,2,0.0,0.0242367160906478,5.150375,927.0565
926,1,0.0,0.013843125067543,6.2821507,17484.932
927,1,0.37161693,0.0078530830060156,41.110497,3181.5198
929,1,0.0,-0.0221231041979238,5.374407,4710.2886
931,1,0.22241794,0.0125400098900271,27.491709,1869.5684
932,2,0.774464,0.0237773069680865,96.58291,505.48682
935,2,0.0,-0.0081092781881148,9.0145855,2916.9348
936,1,0.3893801,0.0208061762802981,40.958652,823.59485
939,2,1.6403434,0.0212949321572145,9.452065,2349.1484
942,2,1.4066836,0.0260626319924395,16.228243,806.30835
944,1,0.57424724,0.0181345386369976,27.571934,1293.8962
946,2,0.0,0.0207483400262176,13.70287,935.74445
950,1,0.29890013,0.0249135469870929,31.466127,759.78687
954,2,0.59696025,0.0253862939448468,6.7400627,1238.3433
961,1,0.32500896,0.024598241647005,23.601128,735.90466
962,2,1.485231,0.0188055672136532,226.89351,639.8997
966,1,0.40870315,0.0116945864757914,19.917597,3604.52
969,2,0.81009763,0.0279198209259728,35.944412,497.6533
974,1,0.0,-0.0401267298141694,7.2184777,10736.259
978,1,0.0,-0.0681400741235844,5.0662184,6902.4697
979,1,0.28027487,-0.0107721520347536,11.968086,5486.2495
980,1,0.92074466,0.0146427304993636,17.521986,4010.697
981,1,0.0,0.0142868913372545,16.51842,8414.622
982,1,0.0,0.0009776810062879,9.223711,6646.808
984,2,1.2653645,0.0250620555989474,6.5903296,1032.2048
985,1,2.3227956,0.0178335370806461,12.106973,1520.9679
986,1,0.44565958,0.0041732941570851,8.78028,2516.5688
990,1,0.64083886,0.016751922376065,31.735037,1171.2002
993,1,0.47109926,0.0190983396032102,10.144218,1165.1022
998,1,0.0,0.0173568203537719,11.624699,1634.037
1005,2,1.4540006,0.0250993523261886,7.2837443,1492.3785
1006,1,0.42718905,0.0096780257770296,12.149558,3111.5012
1010,1,0.22711313,0.0163397176291751,10.289222,2466.1465
1011,2,0.80116624,0.0304361651727085,36.64287,978.01514
1012,2,0.09467281,0.0293006400259462,4.8517404,1458.6814
1016,1,0.23097982,-0.0822514767556154,4.252501,5880.488
1018,2,0.74268806,0.0239522800253244,24.111116,716.9914
