,CLASS1,HR_24
946,2,0.0207483400262176
950,1,0.0249135469870929
961,1,0.024598241647005
962,2,0.0188055672136532
966,1,0.0116945864757914
969,2,0.0279198209259728
979,1,-0.0107721520347536
981,1,0.0142868913372545
985,1,0.0178335370806461
990,1,0.016751922376065
993,1,0.0190983396032102
998,1,0.0173568203537719
1010,1,0.0163397176291751
1011,2,0.0304361651727085
1018,2,0.0239522800253244
1020,1,0.0176351601215595
1029,2,0.0310060451201974
1035,1,0.0171292576538147
1037,2,0.024353650692387
1038,1,0.0231485344552945
1046,1,0.0145599553861391
1068,2,0.0263282870296109
1072,3,0.0313952086304182
1084,2,0.0272079764414483
1085,1,0.0082408330304554
1090,2,0.0237114979140645
1092,1,0.0123249154835409
1093,1,0.0195304450487071
1095,1,0.019385660057045
1109,1,0.018580877896731
1115,1,0.0120150744817678
1116,1,0.0195382329428682
1121,1,0.0129802082775688
1127,2,0.0256902296808886
1128,1,0.0170978712400452
1129,1,0.0101393263013522
1130,1,0.0211099500692524
1132,1,0.0227044104468878
1133,1,0.0123529573689829
1143,1,0.0188197703120469
1148,1,0.0234468629024293
1153,1,0.0130517035918486
1155,1,0.004090753957026
1159,1,0.0138542027967763
1163,1,0.0128070221410808
1166,2,0.0257122422386813
1170,2,0.0232010873422643
1184,1,0.0138318843126987
1186,2,0.027087053681348
1187,2,0.0214272978900606
1189,1,0.0129566649561326
1201,2,0.0321164581976035
1202,1,0.0196421322664043
1213,2,0.0259521482838855
1215,2,0.021341442260405
1225,1,0.0186840658494241
1233,2,0.0242544035078078
1238,1,0.0148723107514181
1241,1,0.0140721824805826
1242,2,0.0311914596774754
1243,1,0.0105861953712389
1248,2,0.023851939441642
1249,1,0.0164437933909645
1256,1,0.0164250718459903
1262,1,0.018480916658601
1263,1,0.0135124698130007
1264,1,0.0061182020033324
1266,2,0.0244693188386174
1268,1,0.0077667687055121
1276,2,0.0253600118529176
1277,1,0.0176369658122126
1279,1,0.0149528736662508
1282,2,0.0191940501286166
1298,2,0.0219616825019705
1299,1,0.0106713966298139
1303,1,0.0098205080298638
1305,1,0.0195621910853157
1320,2,0.0247502885002584
1322,1,0.0197157770553589
1323,1,0.0148781068592599
1339,2,0.0164146586250874
1340,1,0.0168462519919637
1342,1,0.0169281520062561
1344,2,0.0213689683324845
1347,1,0.009778299652904
1355,1,0.0159018985303232
1360,2,0.0284235549857992
1364,2,0.0311648069294145
1370,1,0.0196520842417793
1372,2,0.0234362281618595
1381,2,0.023556248103888
1400,1,0.0113353274238639
1401,2,0.0291774248040848
1402,1,0.0079892765112575
1406,1,0.0114881901326683
1410,1,0.0196540607869825
1417,2,0.0317792177948688
1424,1,0.0157846049327643
1427,2,0.0322639485528144
1440,1,0.0108846911658061
1467,1,0.0149097222008606
1480,2,0.0338839921094914
1482,1,0.0110245545068184
1489,1,0.0112872606042005
1494,1,0.0149610045544161
1508,1,0.0166337898552988
1509,2,0.0239791494626668
1513,2,0.0374212709901788
1514,2,0.0318120128032535
1515,1,0.01550313190394
1518,1,0.0120248845198517
1523,1,0.0146734571022595
1533,1,0.0161840368347404
1535,2,0.024330218267274
1536,2,0.0243072401638586
1538,2,0.0276352860350571
1549,1,0.0025987714582139
1551,1,0.0211524139692304
1557,2,0.0304972143711277
1563,1,0.0223049492581211
1565,2,0.0249800841204047
1568,1,0.0150243827992994
1581,1,0.0202254734570385
1589,1,0.0153782748859073
1591,1,0.0133343108434688
1594,2,0.019830101352219
1610,1,-0.0019696110903446
1614,1,0.0138392266117486
1621,1,0.0100652449955698
1629,1,0.0164649211671611
1633,1,0.0089157229206674
1634,1,0.0143015083886034
1637,3,0.0135411114229931
1641,1,0.0181768201388101
1643,1,0.0198102889682361
1647,1,0.0110188254641453
1663,2,0.0232811324945605
1664,2,0.0311767257216469
1677,1,0.0088935009363927
1684,2,0.0317644251124647
1688,2,0.0291454320244134
1690,2,0.0188262735159794
1705,2,0.0270679137674761
1711,1,0.0087137008581434
1713,1,0.0043388942129863
1720,1,0.0113331162510177
1721,1,0.0157379564842313
1722,1,0.0136996766799135
1731,1,0.0135033007647509
1736,2,0.0199913296864506
1737,2,0.0209705457609259
1744,2,0.0281547110581585
1756,2,0.0298377927471048
1760,2,0.027356312954818
1763,1,0.0154532696649223
1765,1,0.0171476858247391
1772,2,0.0240174793972494
1773,1,0.0171415857684805
1775,1,0.0170637842378322
1777,1,0.0192882674858561
1790,1,0.0131300667603814
1792,1,0.0141634888655012
1798,1,0.0166873196587597
1800,1,-0.0089111244919974
1803,2,0.0217981695289848
1804,1,0.0079679362898098
1805,2,0.0308003101387083
1811,1,0.0197254266041857
1817,2,0.0236435411003056
1826,2,0.0243094548538073
1828,1,0.0138318021185975
1831,1,0.0073879325635387
1832,2,0.0198591487828754
1834,1,0.016177878487825
1838,2,0.0274596024252503
1839,1,0.0179075358690485
1851,2,0.0224179920086581
1860,2,0.0260181636140026
1871,2,0.0230896293032177
1872,1,0.0097169593018639
1873,1,0.0185633088065563
1876,1,0.0039779814618773
1878,1,0.0124867428401572
1881,1,0.0125569121243056
1887,1,0.0124080054711755
1891,1,0.0140391598234129
1893,2,0.0224463215105998
1899,1,0.0162693475091641
1903,1,0.0170889330707315
1907,2,0.0251114502838858
1920,2,0.0323929208569149
1922,2,0.0191643275345835
1923,2,0.0225113182432817
1927,1,0.0203146495566438
1934,1,0.0158312382887009
1935,1,0.0216219939790457
1941,1,0.0128204327032123
1942,2,0.0393924970650233
