,y_pred,y_proba_0,y_proba_1
491,0,0.652578253,0.347421747
494,0,0.652709778,0.347290222
497,0,0.652685057,0.347314943
500,0,0.652523292,0.347476708
501,0,0.652717042,0.347282958
506,0,0.646119082,0.353880918
511,0,0.65262236,0.34737764
514,0,0.652407996,0.347592004
521,0,0.652717371,0.347282629
523,0,0.652542719,0.347457281
530,0,0.652725224,0.347274776
534,0,0.65266955,0.34733045
537,0,0.652606158,0.347393842
538,0,0.652715225,0.347284775
541,0,0.644715159,0.355284841
543,0,0.650719301,0.349280699
549,0,0.652712927,0.347287073
550,0,0.652730306,0.347269694
554,0,0.652620889,0.347379111
555,0,0.644830756,0.355169244
556,0,0.652708587,0.347291413
557,0,0.652562447,0.347437553
563,0,0.652633975,0.347366025
566,0,0.652721814,0.347278186
567,0,0.652668944,0.347331056
573,0,0.652723703,0.347276297
576,0,0.651516935,0.348483065
580,0,0.65273379,0.34726621
582,0,0.648290191,0.351709809
584,0,0.652713098,0.347286902
585,0,0.652727791,0.347272209
586,0,0.652046852,0.347953148
587,0,0.648488808,0.351511192
590,0,0.652734255,0.347265745
591,0,0.652701377,0.347298623
592,0,0.652680939,0.347319061
594,0,0.64608466,0.35391534
596,0,0.652696368,0.347303632
602,0,0.652693516,0.347306484
603,0,0.645019821,0.354980179
604,0,0.645317201,0.354682799
613,0,0.649833582,0.350166418
616,0,0.65266683,0.34733317
626,0,0.652728962,0.347271038
627,0,0.652307423,0.347692577
628,0,0.648533196,0.351466804
631,0,0.652732373,0.347267627
633,0,0.652714284,0.347285716
636,0,0.644711876,0.355288124
638,0,0.65271985,0.34728015
639,0,0.65189751,0.34810249
640,0,0.652688447,0.347311553
641,0,0.650693109,0.349306891
644,0,0.651682872,0.348317128
645,0,0.652721551,0.347278449
647,0,0.651204244,0.348795756
649,0,0.652630075,0.347369925
651,0,0.652674542,0.347325458
653,0,0.652495965,0.347504035
654,0,0.652724054,0.347275946
656,0,0.652513189,0.347486811
659,0,0.652235249,0.347764751
670,0,0.652730219,0.347269781
