,y_pred,y_proba_0,y_proba_1
817,0.0,0.8497025201910443,0.1502974798089558
824,1.0,0.05453944432885287,0.9454605556711473
832,0.0,0.9992251332586803,0.0007748667413195645
833,0.0,0.9797269835037794,0.020273016496220785
835,0.0,0.8429412169330069,0.15705878306699314
841,0.0,0.9940411260160283,0.005958873983971487
844,0.0,0.9990936064382565,0.0009063935617432944
848,0.0,0.9955469002969094,0.004453099703090712
851,1.0,0.11205677803272637,0.8879432219672738
852,0.0,0.97256660115908,0.027433398840919804
854,1.0,0.33369257155549276,0.6663074284445072
858,1.0,0.038512813389363826,0.9614871866106363
861,0.0,0.9504799876610717,0.04952001233892852
864,1.0,0.21575634307491995,0.7842436569250799
866,0.0,0.9167631726454989,0.08323682735450129
868,1.0,0.08624704945889362,0.9137529505411065
873,0.0,0.80602634989193,0.19397365010807016
875,0.0,0.933505198348724,0.06649480165127598
876,0.0,0.8124593383283303,0.18754066167166955
878,1.0,0.026338171124810777,0.973661828875189
886,1.0,0.06544018912939634,0.9345598108706039
889,1.0,0.14438712283203176,0.8556128771679683
890,0.0,0.5114587311899431,0.48854126881005683
892,0.0,0.9746932119182838,0.025306788081715836
893,1.0,0.40794979143061827,0.5920502085693816
900,1.0,0.07082667793653348,0.9291733220634667
901,0.0,0.8181248411146553,0.1818751588853447
903,0.0,0.9805299885532597,0.01947001144674054
904,0.0,0.9365295375909998,0.0634704624090003
908,0.0,0.983350689952991,0.016649310047009265
916,0.0,0.9330465906487468,0.06695340935125307
928,0.0,0.9915991851527866,0.008400814847213504
930,0.0,0.9693669201600461,0.030633079839953847
937,0.0,0.9450999400444502,0.05490005995554975
941,0.0,0.8872005406101332,0.11279945938986695
947,1.0,0.1871882703950038,0.8128117296049963
948,0.0,0.9946955265005952,0.005304473499404673
951,0.0,0.8775884909533023,0.12241150904669795
957,0.0,0.9964196030559271,0.0035803969440727995
958,1.0,0.37229474751743774,0.6277052524825623
959,0.0,0.9919280317717023,0.008071968228297772
963,0.0,0.5687224799123098,0.43127752008769005
964,1.0,0.07778128948752898,0.9222187105124713
965,1.0,0.4446025960010875,0.5553974039989125
968,1.0,0.030080589253220148,0.96991941074678
970,0.0,0.9977915531719243,0.0022084468280757687
